,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,ATL,22000898,2021-04-23T00:00:00,ATL vs. MIA,W,48.0,43,80,0.538,15,35,0.429,17,19,0.895,8,30,38,24,14.0,12,2,5,17,18,118,15.0
2,ATL,22000886,2021-04-21T00:00:00,ATL @ NYK,L,53.0,49,102,0.48,12,34,0.353,17,24,0.708,12,29,41,28,10.0,10,3,3,18,19,127,-10.0
3,ATL,22000876,2021-04-20T00:00:00,ATL vs. ORL,W,48.0,39,94,0.415,9,34,0.265,25,29,0.862,18,47,65,20,14.0,6,3,3,22,19,112,16.0
4,ATL,22000861,2021-04-18T00:00:00,ATL vs. IND,W,48.0,45,92,0.489,13,32,0.406,26,34,0.765,14,37,51,20,10.0,8,7,5,19,27,129,12.0
5,ATL,22000840,2021-04-15T00:00:00,ATL vs. MIL,L,48.0,39,86,0.453,14,34,0.412,17,19,0.895,8,31,39,23,12.0,5,4,1,15,16,109,-11.0
6,ATL,22000824,2021-04-13T00:00:00,ATL @ TOR,W,48.0,40,84,0.476,13,30,0.433,15,22,0.682,8,31,39,21,14.0,7,2,4,16,19,108,5.0
7,ATL,22000805,2021-04-11T00:00:00,ATL @ CHA,W,48.0,38,84,0.452,17,39,0.436,12,16,0.75,7,34,41,27,12.0,7,1,5,11,14,105,4.0
8,ATL,22000791,2021-04-09T00:00:00,ATL vs. CHI,W,48.0,47,84,0.56,7,27,0.259,19,23,0.826,6,35,41,25,9.0,7,4,1,14,17,120,12.0
9,ATL,22000780,2021-04-07T00:00:00,ATL vs. MEM,L,48.0,45,101,0.446,10,28,0.357,13,15,0.867,11,31,42,26,7.0,5,3,5,19,17,113,-18.0
10,ATL,22000770,2021-04-06T00:00:00,ATL vs. NOP,W,48.0,44,88,0.5,20,31,0.645,15,22,0.682,10,32,42,24,11.0,7,6,7,23,15,123,16.0
11,ATL,22000759,2021-04-04T00:00:00,ATL vs. GSW,W,48.0,35,81,0.432,12,32,0.375,35,45,0.778,10,39,49,19,15.0,10,3,6,19,26,117,6.0
12,ATL,22000742,2021-04-02T00:00:00,ATL @ NOP,W,48.0,49,87,0.563,13,29,0.448,15,21,0.714,6,36,42,25,15.0,10,9,6,23,18,126,23.0
13,ATL,22000735,2021-04-01T00:00:00,ATL @ SAS,W,58.0,50,100,0.5,13,24,0.542,21,26,0.808,10,47,57,28,12.0,3,9,6,22,22,134,5.0
14,ATL,22000171,2021-03-30T00:00:00,ATL @ PHX,L,48.0,41,85,0.482,13,32,0.406,15,21,0.714,6,30,36,30,7.0,9,1,1,17,14,110,-7.0
15,ATL,22000705,2021-03-28T00:00:00,ATL @ DEN,L,48.0,36,76,0.474,12,34,0.353,18,21,0.857,2,29,31,18,12.0,7,3,3,16,15,102,-24.0
16,ATL,22000692,2021-03-26T00:00:00,ATL @ GSW,W,48.0,46,84,0.548,13,33,0.394,19,24,0.792,8,37,45,31,10.0,6,5,4,23,22,124,16.0
17,ATL,22000677,2021-03-24T00:00:00,ATL @ SAC,L,48.0,41,85,0.482,7,25,0.28,19,23,0.826,11,31,42,17,13.0,5,3,6,20,16,108,-2.0
18,ATL,22000660,2021-03-22T00:00:00,ATL @ LAC,L,48.0,43,95,0.453,12,34,0.353,12,16,0.75,15,33,48,21,7.0,3,3,7,18,16,110,-9.0
19,ATL,22000640,2021-03-20T00:00:00,ATL @ LAL,W,48.0,39,98,0.398,13,37,0.351,8,9,0.889,16,33,49,26,8.0,13,7,3,21,16,99,5.0
20,ATL,22000626,2021-03-18T00:00:00,ATL vs. OKC,W,48.0,47,87,0.54,11,33,0.333,11,13,0.846,6,44,50,26,14.0,6,7,3,16,13,116,23.0
21,ATL,22000613,2021-03-16T00:00:00,ATL @ HOU,W,48.0,44,86,0.512,17,37,0.459,14,16,0.875,9,29,38,32,12.0,8,6,6,18,19,119,12.0
22,ATL,22000597,2021-03-14T00:00:00,ATL vs. CLE,W,48.0,32,71,0.451,12,29,0.414,24,26,0.923,12,37,49,21,21.0,4,6,5,21,18,100,18.0
23,ATL,22000590,2021-03-13T00:00:00,ATL vs. SAC,W,48.0,43,84,0.512,12,33,0.364,23,33,0.697,13,32,45,21,9.0,6,2,1,17,26,121,15.0
24,ATL,22000570,2021-03-11T00:00:00,ATL @ TOR,W,48.0,39,90,0.433,15,42,0.357,28,35,0.8,12,41,53,20,14.0,8,13,4,26,25,121,1.0
25,ATL,22000544,2021-03-03T00:00:00,ATL @ ORL,W,48.0,38,85,0.447,21,45,0.467,18,19,0.947,6,36,42,26,12.0,7,5,5,25,15,115,3.0
26,ATL,22000538,2021-03-02T00:00:00,ATL @ MIA,W,48.0,34,71,0.479,13,36,0.361,13,15,0.867,11,36,47,26,23.0,5,2,4,18,13,94,14.0
27,ATL,22000522,2021-02-28T00:00:00,ATL @ MIA,L,48.0,36,87,0.414,8,35,0.229,19,22,0.864,16,33,49,22,17.0,12,6,6,20,20,99,-10.0
28,ATL,22000510,2021-02-26T00:00:00,ATL @ OKC,L,48.0,43,97,0.443,12,40,0.3,11,17,0.647,19,35,54,21,11.0,6,5,2,13,17,109,-9.0
29,ATL,22000490,2021-02-24T00:00:00,ATL vs. BOS,W,48.0,45,85,0.529,23,42,0.548,14,17,0.824,12,33,45,27,17.0,4,5,6,23,16,127,15.0
30,ATL,22000480,2021-02-23T00:00:00,ATL @ CLE,L,48.0,40,89,0.449,14,31,0.452,17,23,0.739,13,28,41,22,13.0,10,4,10,19,19,111,-1.0
31,ATL,22000470,2021-02-21T00:00:00,ATL vs. DEN,W,48.0,42,81,0.519,12,34,0.353,27,33,0.818,10,34,44,29,11.0,6,4,3,20,24,123,8.0
32,ATL,22000451,2021-02-19T00:00:00,ATL @ BOS,L,48.0,38,90,0.422,10,30,0.333,23,25,0.92,13,28,41,21,14.0,14,6,12,14,21,109,-12.0
33,ATL,22000438,2021-02-17T00:00:00,ATL @ BOS,W,48.0,44,77,0.571,8,24,0.333,26,31,0.839,8,29,37,19,15.0,8,2,3,18,27,122,8.0
34,ATL,22000422,2021-02-15T00:00:00,ATL @ NYK,L,48.0,36,85,0.424,11,33,0.333,29,32,0.906,11,31,42,17,11.0,5,6,6,19,22,112,-11.0
35,ATL,22000407,2021-02-13T00:00:00,ATL vs. IND,L,48.0,43,90,0.478,9,31,0.29,18,23,0.783,7,31,38,35,11.0,5,4,6,24,21,113,-12.0
36,ATL,22000397,2021-02-12T00:00:00,ATL vs. SAS,L,48.0,39,90,0.433,11,32,0.344,25,33,0.758,10,31,41,22,12.0,10,4,6,17,25,114,-11.0
37,ATL,22000384,2021-02-10T00:00:00,ATL @ DAL,L,48.0,40,88,0.455,14,39,0.359,23,28,0.821,9,33,42,27,9.0,7,4,3,20,24,117,-1.0
38,ATL,22000356,2021-02-06T00:00:00,ATL vs. TOR,W,48.0,42,74,0.568,19,36,0.528,29,33,0.879,4,39,43,31,19.0,1,10,5,25,27,132,11.0
39,ATL,22000338,2021-02-04T00:00:00,ATL vs. UTA,L,48.0,32,98,0.327,9,31,0.29,18,19,0.947,18,31,49,19,11.0,8,1,4,15,20,91,-21.0
40,ATL,22000330,2021-02-03T00:00:00,ATL vs. DAL,L,48.0,45,90,0.5,14,38,0.368,12,17,0.706,13,33,46,31,16.0,6,4,7,20,19,116,-6.0
41,ATL,22000313,2021-02-01T00:00:00,ATL vs. LAL,L,48.0,37,78,0.474,11,29,0.379,14,17,0.824,6,30,36,27,19.0,8,3,7,21,20,99,-8.0
42,ATL,22000290,2021-01-29T00:00:00,ATL @ WAS,W,48.0,39,87,0.448,12,37,0.324,26,34,0.765,12,35,47,16,13.0,5,4,4,30,27,116,16.0
43,ATL,22000274,2021-01-27T00:00:00,ATL vs. BKN,L,53.0,45,94,0.479,13,33,0.394,25,28,0.893,12,25,37,29,11.0,3,7,10,18,25,128,-4.0
44,ATL,22000268,2021-01-26T00:00:00,ATL vs. LAC,W,48.0,37,80,0.463,10,26,0.385,24,25,0.96,9,37,46,20,14.0,7,9,4,17,19,108,9.0
45,ATL,22000254,2021-01-24T00:00:00,ATL @ MIL,L,48.0,42,83,0.506,14,39,0.359,17,22,0.773,5,22,27,27,9.0,8,4,2,23,16,115,-14.0
46,ATL,22000236,2021-01-22T00:00:00,ATL @ MIN,W,48.0,38,83,0.458,15,35,0.429,25,30,0.833,13,42,55,21,17.0,9,12,8,16,21,116,18.0
47,ATL,22000219,2021-01-20T00:00:00,ATL vs. DET,W,53.0,44,100,0.44,9,23,0.391,26,38,0.684,23,40,63,21,14.0,6,10,3,15,28,123,8.0
48,ATL,22000205,2021-01-18T00:00:00,ATL vs. MIN,W,48.0,37,79,0.468,11,28,0.393,23,25,0.92,7,41,48,32,26.0,15,8,6,17,21,108,11.0
49,ATL,22000195,2021-01-16T00:00:00,ATL @ POR,L,48.0,38,87,0.437,6,30,0.2,24,28,0.857,7,41,48,24,13.0,4,6,8,22,20,106,-6.0
50,ATL,22000186,2021-01-15T00:00:00,ATL @ UTA,L,48.0,38,92,0.413,5,28,0.179,11,15,0.733,8,33,41,21,15.0,6,1,6,16,18,92,-24.0
51,ATL,22000153,2021-01-11T00:00:00,ATL vs. PHI,W,48.0,37,99,0.374,17,44,0.386,21,27,0.778,14,44,58,20,8.0,7,3,12,13,17,112,18.0
52,ATL,22000134,2021-01-09T00:00:00,ATL @ CHA,L,48.0,34,89,0.382,14,45,0.311,23,28,0.821,17,30,47,25,14.0,10,4,7,22,19,105,-8.0
53,ATL,22000110,2021-01-06T00:00:00,ATL vs. CHA,L,48.0,36,96,0.375,7,40,0.175,15,18,0.833,12,45,57,25,13.0,6,1,7,25,14,94,-8.0
54,ATL,22000095,2021-01-04T00:00:00,ATL vs. NYK,L,48.0,40,87,0.46,10,31,0.323,18,23,0.783,10,30,40,24,13.0,4,2,6,21,21,108,-5.0
55,ATL,22000083,2021-01-02T00:00:00,ATL vs. CLE,L,48.0,35,85,0.412,11,32,0.344,10,19,0.526,15,33,48,22,22.0,9,5,2,20,21,91,-5.0
56,ATL,22000072,2021-01-01T00:00:00,ATL @ BKN,W,48.0,43,93,0.462,16,39,0.41,12,14,0.857,10,38,48,24,11.0,8,3,6,20,16,114,18.0
57,ATL,22000057,2020-12-30T00:00:00,ATL @ BKN,L,48.0,47,99,0.475,18,46,0.391,29,35,0.829,17,37,54,27,12.0,5,2,3,19,24,141,-4.0
58,ATL,22000041,2020-12-28T00:00:00,ATL vs. DET,W,48.0,40,82,0.488,20,42,0.476,28,32,0.875,8,37,45,30,13.0,5,7,4,22,25,128,8.0
59,ATL,22000021,2020-12-26T00:00:00,ATL @ MEM,W,48.0,38,89,0.427,13,36,0.361,33,38,0.868,13,41,54,23,15.0,4,5,6,20,27,122,10.0
60,ATL,22000015,2020-12-23T00:00:00,ATL @ CHI,W,48.0,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,23.0,6,3,3,29,22,124,20.0
