,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,BKN,22000899,2021-04-23T00:00:00,BKN vs. BOS,W,48.0,37,86,0.43,11,32,0.344,24,28,0.857,6,41,47,26,11.0,12,7,6,19,20,109,5.0
2,BKN,22000884,2021-04-21T00:00:00,BKN @ TOR,L,48.0,36,91,0.396,13,41,0.317,18,23,0.783,12,38,50,19,13.0,3,6,8,17,20,103,-11.0
3,BKN,22000878,2021-04-20T00:00:00,BKN @ NOP,W,48.0,49,89,0.551,14,37,0.378,22,28,0.786,10,34,44,30,13.0,7,2,2,21,21,134,5.0
4,BKN,22000863,2021-04-18T00:00:00,BKN @ MIA,L,48.0,39,82,0.476,17,43,0.395,12,18,0.667,8,30,38,26,11.0,10,6,1,17,13,107,-2.0
5,BKN,22000848,2021-04-16T00:00:00,BKN vs. CHA,W,48.0,47,85,0.553,21,41,0.512,15,16,0.938,7,30,37,35,18.0,12,5,3,17,18,130,15.0
6,BKN,22000830,2021-04-14T00:00:00,BKN @ PHI,L,48.0,43,83,0.518,4,21,0.19,27,30,0.9,11,32,43,23,16.0,6,3,9,21,21,117,-6.0
7,BKN,22000817,2021-04-13T00:00:00,BKN @ MIN,W,48.0,46,91,0.505,15,36,0.417,20,24,0.833,11,46,57,31,19.0,8,4,12,22,20,127,30.0
8,BKN,22000800,2021-04-10T00:00:00,BKN vs. LAL,L,48.0,35,80,0.438,5,27,0.185,26,30,0.867,9,33,42,19,19.0,6,10,4,20,24,101,-25.0
9,BKN,22000779,2021-04-07T00:00:00,BKN vs. NOP,W,48.0,51,92,0.554,19,41,0.463,18,22,0.818,10,35,45,37,17.0,10,8,2,31,14,139,28.0
10,BKN,22000762,2021-04-05T00:00:00,BKN vs. NYK,W,48.0,42,92,0.457,10,32,0.313,20,26,0.769,11,34,45,27,10.0,6,6,4,14,25,114,2.0
11,BKN,22000755,2021-04-04T00:00:00,BKN @ CHI,L,48.0,45,93,0.484,11,28,0.393,6,7,0.857,4,31,35,28,5.0,3,3,3,17,11,107,-8.0
12,BKN,22000732,2021-04-01T00:00:00,BKN vs. CHA,W,48.0,44,91,0.484,20,45,0.444,3,4,0.75,13,43,56,34,15.0,8,5,5,18,9,111,22.0
13,BKN,22000724,2021-03-31T00:00:00,BKN vs. HOU,W,48.0,44,90,0.489,13,36,0.361,19,19,1.0,12,33,45,25,12.0,6,3,8,21,21,120,12.0
14,BKN,22000709,2021-03-29T00:00:00,BKN vs. MIN,W,48.0,40,85,0.471,10,30,0.333,22,25,0.88,7,43,50,31,16.0,10,7,10,18,25,112,5.0
15,BKN,22000683,2021-03-26T00:00:00,BKN @ DET,W,48.0,37,84,0.44,13,33,0.394,26,34,0.765,16,33,49,19,10.0,3,4,4,27,30,113,2.0
16,BKN,22000676,2021-03-24T00:00:00,BKN @ UTA,L,48.0,35,97,0.361,7,35,0.2,11,15,0.733,13,35,48,19,9.0,9,1,6,10,15,88,-30.0
17,BKN,22000666,2021-03-23T00:00:00,BKN @ POR,W,48.0,43,87,0.494,9,30,0.3,21,27,0.778,10,37,47,25,11.0,5,2,5,17,20,116,4.0
18,BKN,22000647,2021-03-21T00:00:00,BKN vs. WAS,W,48.0,44,90,0.489,9,29,0.31,16,22,0.727,10,25,35,24,7.0,11,8,4,18,22,113,7.0
19,BKN,22000633,2021-03-19T00:00:00,BKN @ ORL,L,48.0,43,91,0.473,10,37,0.27,17,23,0.739,9,30,39,24,8.0,9,3,1,16,20,113,-8.0
20,BKN,22000617,2021-03-17T00:00:00,BKN @ IND,W,48.0,42,87,0.483,9,27,0.333,31,40,0.775,15,35,50,22,18.0,10,2,3,20,28,124,9.0
21,BKN,22000604,2021-03-15T00:00:00,BKN vs. NYK,W,48.0,44,76,0.579,12,29,0.414,17,22,0.773,3,38,41,29,15.0,3,6,2,19,22,117,5.0
22,BKN,22000587,2021-03-13T00:00:00,BKN vs. DET,W,48.0,39,80,0.488,6,27,0.222,16,22,0.727,5,30,35,22,12.0,8,7,8,16,16,100,5.0
