,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,BOS,22000899,2021-04-23T00:00:00,BOS @ BKN,L,48.0,38,94,0.404,17,42,0.405,11,16,0.688,15,39,54,21,19.0,6,6,7,20,19,104,-5.0
2,BOS,22000892,2021-04-22T00:00:00,BOS vs. PHX,W,48.0,33,77,0.429,12,40,0.3,21,24,0.875,10,38,48,20,23.0,7,2,2,12,23,99,13.0
3,BOS,22000869,2021-04-19T00:00:00,BOS vs. CHI,L,48.0,36,77,0.468,10,25,0.4,14,15,0.933,3,36,39,21,16.0,8,3,8,15,15,96,-6.0
4,BOS,22000858,2021-04-17T00:00:00,BOS vs. GSW,W,48.0,44,94,0.468,15,46,0.326,16,20,0.8,14,31,45,18,9.0,9,2,2,18,23,119,5.0
5,BOS,22000842,2021-04-15T00:00:00,BOS @ LAL,W,48.0,48,85,0.565,14,32,0.438,11,13,0.846,7,41,48,33,21.0,4,6,2,20,16,121,8.0
6,BOS,22000828,2021-04-13T00:00:00,BOS @ POR,W,48.0,42,90,0.467,15,35,0.429,17,24,0.708,9,37,46,30,10.0,5,4,5,19,22,116,1.0
7,BOS,22000806,2021-04-11T00:00:00,BOS @ DEN,W,48.0,39,87,0.448,7,33,0.212,20,23,0.87,10,42,52,20,11.0,4,7,4,18,20,105,18.0
8,BOS,22000792,2021-04-09T00:00:00,BOS vs. MIN,W,53.0,47,87,0.54,19,42,0.452,32,34,0.941,9,36,45,32,21.0,9,5,0,25,26,145,9.0
9,BOS,22000778,2021-04-07T00:00:00,BOS vs. NYK,W,48.0,36,86,0.419,15,40,0.375,14,20,0.7,16,37,53,22,20.0,6,7,4,14,21,101,2.0
10,BOS,22000771,2021-04-06T00:00:00,BOS vs. PHI,L,48.0,33,70,0.471,14,34,0.412,16,18,0.889,3,29,32,19,22.0,5,6,4,22,20,96,-10.0
11,BOS,22000757,2021-04-04T00:00:00,BOS vs. CHA,W,48.0,43,94,0.457,21,54,0.389,9,11,0.818,14,30,44,29,6.0,11,5,5,20,15,116,30.0
12,BOS,22000738,2021-04-02T00:00:00,BOS vs. HOU,W,48.0,46,88,0.523,17,41,0.415,9,12,0.75,11,39,50,35,15.0,9,7,1,22,11,118,16.0
13,BOS,22000723,2021-03-31T00:00:00,BOS vs. DAL,L,48.0,39,94,0.415,11,47,0.234,19,23,0.826,8,28,36,20,9.0,11,2,4,19,18,108,-5.0
14,BOS,22000708,2021-03-29T00:00:00,BOS vs. NOP,L,48.0,40,93,0.43,14,43,0.326,15,19,0.789,12,34,46,21,14.0,5,9,2,25,21,109,-6.0
15,BOS,22000699,2021-03-27T00:00:00,BOS @ OKC,W,48.0,44,96,0.458,12,38,0.316,11,14,0.786,10,42,52,22,12.0,10,4,4,19,12,111,17.0
16,BOS,22000685,2021-03-26T00:00:00,BOS @ MIL,W,48.0,43,88,0.489,22,47,0.468,14,16,0.875,8,36,44,27,15.0,10,8,3,16,16,122,8.0
17,BOS,22000669,2021-03-24T00:00:00,BOS @ MIL,L,48.0,45,94,0.479,19,47,0.404,10,10,1.0,9,29,38,24,13.0,9,6,5,15,14,119,-2.0
18,BOS,22000658,2021-03-22T00:00:00,BOS @ MEM,L,53.0,47,90,0.522,17,35,0.486,15,24,0.625,5,38,43,31,13.0,3,6,6,18,20,126,-6.0
19,BOS,22000167,2021-03-21T00:00:00,BOS vs. ORL,W,48.0,40,88,0.455,23,55,0.418,9,9,1.0,7,38,45,27,10.0,6,3,4,21,13,112,16.0
20,BOS,22000631,2021-03-19T00:00:00,BOS vs. SAC,L,48.0,39,91,0.429,12,31,0.387,6,7,0.857,12,33,45,22,16.0,8,4,9,20,16,96,-11.0
21,BOS,22000620,2021-03-17T00:00:00,BOS @ CLE,L,48.0,40,88,0.455,10,38,0.263,20,29,0.69,15,25,40,19,12.0,10,9,3,27,17,110,-7.0
22,BOS,22000609,2021-03-16T00:00:00,BOS vs. UTA,L,48.0,48,98,0.49,10,29,0.345,3,4,0.75,16,29,45,28,14.0,8,5,6,18,18,109,-8.0
23,BOS,22000598,2021-03-14T00:00:00,BOS @ HOU,W,48.0,51,92,0.554,18,37,0.486,14,21,0.667,10,45,55,29,14.0,8,3,5,22,19,134,27.0
24,BOS,22000569,2021-03-11T00:00:00,BOS @ BKN,L,48.0,41,91,0.451,13,40,0.325,14,22,0.636,11,28,39,22,11.0,10,10,5,13,22,109,-12.0
25,BOS,22000552,2021-03-04T00:00:00,BOS vs. TOR,W,48.0,45,74,0.608,13,29,0.448,29,40,0.725,9,30,39,25,16.0,6,7,1,20,25,132,7.0
26,BOS,22000537,2021-03-02T00:00:00,BOS vs. LAC,W,48.0,42,86,0.488,16,32,0.5,17,23,0.739,14,29,43,25,9.0,6,4,5,12,19,117,5.0
27,BOS,22000524,2021-02-28T00:00:00,BOS vs. WAS,W,48.0,42,89,0.472,10,30,0.333,17,24,0.708,13,36,49,25,19.0,7,0,5,25,22,111,1.0
28,BOS,22000505,2021-02-26T00:00:00,BOS vs. IND,W,48.0,42,82,0.512,9,22,0.409,25,29,0.862,7,38,45,24,12.0,3,6,6,20,22,118,6.0
29,BOS,22000490,2021-02-24T00:00:00,BOS @ ATL,L,48.0,42,95,0.442,8,31,0.258,20,23,0.87,12,24,36,20,6.0,10,6,5,16,23,112,-15.0
30,BOS,22000485,2021-02-23T00:00:00,BOS @ DAL,L,48.0,41,86,0.477,12,39,0.308,13,18,0.722,12,34,46,19,13.0,6,6,1,21,17,107,-3.0
31,BOS,22000465,2021-02-21T00:00:00,BOS @ NOP,L,53.0,39,98,0.398,10,37,0.27,27,34,0.794,11,38,49,22,11.0,9,11,7,30,24,115,-5.0
32,BOS,22000451,2021-02-19T00:00:00,BOS vs. ATL,W,48.0,50,90,0.556,14,35,0.4,7,10,0.7,9,35,44,26,18.0,8,12,6,21,14,121,12.0
33,BOS,22000438,2021-02-17T00:00:00,BOS vs. ATL,L,48.0,40,86,0.465,10,31,0.323,24,27,0.889,11,26,37,22,16.0,9,3,2,27,18,114,-8.0
34,BOS,22000427,2021-02-16T00:00:00,BOS vs. DEN,W,48.0,39,81,0.481,15,42,0.357,19,21,0.905,10,33,43,26,22.0,7,1,3,22,18,112,13.0
35,BOS,22000560,2021-02-14T00:00:00,BOS @ WAS,L,48.0,32,90,0.356,9,35,0.257,18,30,0.6,14,36,50,14,17.0,5,2,3,27,25,91,-13.0
36,BOS,22000412,2021-02-12T00:00:00,BOS vs. DET,L,48.0,36,82,0.439,8,27,0.296,22,30,0.733,7,37,44,15,10.0,9,2,6,25,20,102,-6.0
37,BOS,22000398,2021-02-11T00:00:00,BOS vs. TOR,W,48.0,39,86,0.453,20,39,0.513,22,28,0.786,14,35,49,30,19.0,8,6,8,22,26,120,14.0
38,BOS,22000379,2021-02-09T00:00:00,BOS @ UTA,L,48.0,38,86,0.442,13,29,0.448,19,23,0.826,11,24,35,18,9.0,2,2,7,25,22,108,-14.0
39,BOS,22000365,2021-02-07T00:00:00,BOS @ PHX,L,48.0,33,93,0.355,17,44,0.386,8,12,0.667,13,28,41,19,6.0,6,2,5,11,15,91,-9.0
40,BOS,22000350,2021-02-05T00:00:00,BOS @ LAC,W,48.0,43,90,0.478,16,38,0.421,17,21,0.81,9,25,34,21,7.0,8,1,4,16,17,119,4.0
41,BOS,22000336,2021-02-03T00:00:00,BOS @ SAC,L,48.0,39,86,0.453,11,33,0.333,22,29,0.759,11,34,45,28,13.0,9,3,2,21,19,111,-5.0
42,BOS,22000326,2021-02-02T00:00:00,BOS @ GSW,W,48.0,39,84,0.464,13,34,0.382,20,27,0.741,12,39,51,16,16.0,3,4,4,20,23,111,4.0
