,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,CHA,22000900,2021-04-23T00:00:00,CHA vs. CLE,W,48.0,40,94,0.426,14,40,0.35,14,18,0.778,15,23,38,26,5.0,7,1,1,16,20,108,6.0
2,CHA,22000896,2021-04-22T00:00:00,CHA @ CHI,L,48.0,35,82,0.427,8,31,0.258,13,17,0.765,7,31,38,30,14.0,5,3,2,18,14,91,-17.0
3,CHA,22000877,2021-04-20T00:00:00,CHA @ NYK,L,48.0,39,86,0.453,16,39,0.41,3,8,0.375,11,28,39,26,13.0,6,3,6,10,13,97,-12.0
4,CHA,22000362,2021-04-18T00:00:00,CHA vs. POR,W,48.0,39,83,0.47,18,43,0.419,13,17,0.765,7,39,46,26,14.0,6,8,3,25,17,109,8.0
5,CHA,22000848,2021-04-16T00:00:00,CHA @ BKN,L,48.0,44,83,0.53,12,34,0.353,15,20,0.75,8,29,37,26,19.0,12,3,5,18,17,115,-15.0
6,CHA,22000829,2021-04-14T00:00:00,CHA vs. CLE,L,48.0,34,84,0.405,16,44,0.364,6,12,0.5,10,28,38,23,13.0,8,5,7,18,11,90,-13.0
7,CHA,22000825,2021-04-13T00:00:00,CHA vs. LAL,L,48.0,36,83,0.434,9,35,0.257,12,18,0.667,12,33,45,22,18.0,5,3,2,18,18,93,-8.0
8,CHA,22000805,2021-04-11T00:00:00,CHA vs. ATL,L,48.0,37,80,0.463,15,43,0.349,12,14,0.857,6,32,38,28,12.0,5,5,1,14,11,101,-4.0
9,CHA,22000796,2021-04-09T00:00:00,CHA @ MIL,W,48.0,44,91,0.484,19,50,0.38,20,22,0.909,13,36,49,35,20.0,4,10,3,19,14,127,8.0
10,CHA,22000781,2021-04-07T00:00:00,CHA @ OKC,W,48.0,43,97,0.443,15,44,0.341,12,13,0.923,11,31,42,27,12.0,12,5,5,16,11,113,11.0
11,CHA,22000757,2021-04-04T00:00:00,CHA @ BOS,L,48.0,32,80,0.4,10,31,0.323,12,20,0.6,9,33,42,23,17.0,3,5,5,15,20,86,-30.0
12,CHA,22000740,2021-04-02T00:00:00,CHA @ IND,W,48.0,43,95,0.453,8,31,0.258,20,29,0.69,11,33,44,27,10.0,16,3,6,16,21,114,17.0
13,CHA,22000732,2021-04-01T00:00:00,CHA @ BKN,L,48.0,30,86,0.349,13,38,0.342,16,19,0.842,11,32,43,22,12.0,11,5,5,9,18,89,-22.0
14,CHA,22000718,2021-03-30T00:00:00,CHA @ WAS,W,48.0,42,90,0.467,14,34,0.412,16,19,0.842,9,41,50,24,14.0,6,6,1,17,19,114,10.0
15,CHA,22000703,2021-03-28T00:00:00,CHA vs. PHX,L,53.0,34,85,0.4,13,43,0.302,16,23,0.696,16,36,52,16,21.0,8,3,2,23,17,97,-4.0
