,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,CHI,22000896,2021-04-22T00:00:00,CHI vs. CHA,W,48.0,43,87,0.494,14,43,0.326,8,11,0.727,11,39,50,30,18.0,8,2,3,14,18,108,17.0
2,CHI,22000881,2021-04-21T00:00:00,CHI @ CLE,L,48.0,39,79,0.494,13,37,0.351,14,18,0.778,7,34,41,27,20.0,6,4,1,24,19,105,-16.0
3,CHI,22000869,2021-04-19T00:00:00,CHI @ BOS,W,48.0,41,91,0.451,11,32,0.344,9,10,0.9,9,31,40,30,12.0,11,8,3,15,15,102,6.0
4,CHI,22000857,2021-04-17T00:00:00,CHI vs. CLE,W,48.0,41,82,0.5,16,40,0.4,8,9,0.889,4,34,38,30,10.0,6,2,1,15,10,106,10.0
5,CHI,22000850,2021-04-16T00:00:00,CHI vs. MEM,L,48.0,45,96,0.469,13,34,0.382,12,15,0.8,13,33,46,34,12.0,3,1,4,20,17,115,-11.0
6,CHI,22000833,2021-04-14T00:00:00,CHI vs. ORL,L,48.0,41,86,0.477,17,37,0.459,7,9,0.778,7,33,40,23,12.0,7,6,10,16,15,106,-9.0
7,CHI,22000278,2021-04-12T00:00:00,CHI @ MEM,L,48.0,36,86,0.419,5,31,0.161,13,17,0.765,8,32,40,23,17.0,8,3,7,16,20,90,-11.0
8,CHI,22000812,2021-04-11T00:00:00,CHI @ MIN,L,48.0,47,92,0.511,15,38,0.395,8,13,0.615,8,30,38,30,14.0,10,8,6,19,14,117,-4.0
9,CHI,22000791,2021-04-09T00:00:00,CHI @ ATL,L,48.0,41,86,0.477,13,33,0.394,13,14,0.929,8,30,38,25,13.0,6,1,4,17,14,108,-12.0
10,CHI,22000523,2021-04-08T00:00:00,CHI @ TOR,W,48.0,47,87,0.54,12,30,0.4,16,18,0.889,12,37,49,35,16.0,5,3,4,16,20,122,9.0
11,CHI,22000769,2021-04-06T00:00:00,CHI @ IND,W,48.0,44,94,0.468,14,33,0.424,11,14,0.786,14,43,57,28,21.0,9,5,12,12,17,113,16.0
12,CHI,22000755,2021-04-04T00:00:00,CHI vs. BKN,W,48.0,43,78,0.551,8,22,0.364,21,30,0.7,6,34,40,29,9.0,4,3,3,11,17,115,8.0
13,CHI,22000743,2021-04-02T00:00:00,CHI @ UTA,L,48.0,43,89,0.483,7,28,0.25,13,17,0.765,7,34,41,26,7.0,5,3,5,19,18,106,-7.0
14,CHI,22000730,2021-03-31T00:00:00,CHI @ PHX,L,48.0,43,99,0.434,11,33,0.333,19,21,0.905,18,32,50,27,10.0,6,4,7,20,21,116,-5.0
15,CHI,22000716,2021-03-29T00:00:00,CHI @ GSW,L,48.0,44,84,0.524,6,24,0.25,8,11,0.727,8,31,39,33,20.0,8,5,8,18,14,102,-14.0
16,CHI,22000697,2021-03-27T00:00:00,CHI @ SAS,L,48.0,41,95,0.432,8,34,0.235,14,18,0.778,11,37,48,28,14.0,6,3,7,25,15,104,-16.0
17,CHI,22000671,2021-03-24T00:00:00,CHI vs. CLE,L,48.0,37,83,0.446,8,28,0.286,12,14,0.857,10,35,45,21,15.0,6,4,7,12,16,94,-9.0
18,CHI,22000656,2021-03-22T00:00:00,CHI vs. UTA,L,48.0,39,96,0.406,6,26,0.231,11,12,0.917,14,35,49,21,14.0,5,3,10,14,16,95,-25.0
19,CHI,22000649,2021-03-21T00:00:00,CHI @ DET,W,48.0,37,80,0.463,14,28,0.5,12,14,0.857,9,43,52,26,21.0,8,8,5,22,16,100,14.0
20,CHI,22000637,2021-03-19T00:00:00,CHI @ DEN,L,53.0,47,90,0.522,17,35,0.486,16,23,0.696,9,33,42,32,18.0,6,2,3,20,22,127,-4.0
21,CHI,22000621,2021-03-17T00:00:00,CHI vs. SAS,L,48.0,40,91,0.44,11,33,0.333,8,9,0.889,14,37,51,24,17.0,6,3,6,22,8,99,-7.0
22,CHI,22000612,2021-03-16T00:00:00,CHI vs. OKC,W,48.0,48,94,0.511,12,36,0.333,15,18,0.833,12,30,42,24,12.0,8,4,9,17,15,123,21.0
23,CHI,22000600,2021-03-14T00:00:00,CHI vs. TOR,W,48.0,44,97,0.454,12,44,0.273,18,23,0.783,14,46,60,35,12.0,6,7,7,20,22,118,23.0
24,CHI,22000582,2021-03-12T00:00:00,CHI vs. MIA,L,48.0,34,92,0.37,15,38,0.395,7,7,1.0,12,38,50,25,16.0,5,3,6,16,13,90,-11.0
25,CHI,22000572,2021-03-11T00:00:00,CHI vs. PHI,L,48.0,39,83,0.47,14,29,0.483,13,16,0.813,8,30,38,26,19.0,3,6,7,19,16,105,-22.0
26,CHI,22000548,2021-03-03T00:00:00,CHI @ NOP,W,48.0,48,94,0.511,12,28,0.429,20,22,0.909,13,32,45,28,16.0,6,8,6,21,19,128,4.0
27,CHI,22000531,2021-03-01T00:00:00,CHI vs. DEN,L,48.0,42,94,0.447,12,38,0.316,16,22,0.727,14,30,44,25,10.0,7,3,6,18,18,112,-6.0
28,CHI,22000508,2021-02-26T00:00:00,CHI vs. PHX,L,48.0,39,78,0.5,12,31,0.387,7,10,0.7,6,35,41,25,19.0,2,4,4,16,11,97,-9.0
29,CHI,22000493,2021-02-24T00:00:00,CHI vs. MIN,W,53.0,55,93,0.591,10,25,0.4,13,16,0.813,7,36,43,28,21.0,11,5,4,15,24,133,7.0
30,CHI,22000474,2021-02-22T00:00:00,CHI @ HOU,W,48.0,49,91,0.538,15,36,0.417,7,10,0.7,8,47,55,24,12.0,5,5,4,17,16,120,20.0
31,CHI,22000460,2021-02-20T00:00:00,CHI vs. SAC,W,48.0,49,82,0.598,11,23,0.478,13,15,0.867,2,36,38,24,14.0,5,8,3,23,18,122,8.0
32,CHI,22000450,2021-02-19T00:00:00,CHI @ PHI,L,48.0,40,95,0.421,7,32,0.219,18,18,1.0,13,29,42,24,11.0,5,6,7,20,18,105,-7.0
33,CHI,22000564,2021-02-17T00:00:00,CHI vs. DET,W,48.0,41,85,0.482,8,28,0.286,15,24,0.625,8,38,46,29,13.0,8,7,2,20,21,105,3.0
34,CHI,22000420,2021-02-15T00:00:00,CHI @ IND,W,53.0,44,102,0.431,13,33,0.394,19,22,0.864,13,47,60,25,19.0,6,2,14,24,23,120,8.0
35,CHI,22000400,2021-02-12T00:00:00,CHI vs. LAC,L,48.0,40,85,0.471,12,32,0.375,14,15,0.933,8,33,41,23,13.0,4,3,7,16,13,106,-19.0
36,CHI,22000385,2021-02-10T00:00:00,CHI vs. NOP,W,48.0,48,81,0.593,25,47,0.532,8,11,0.727,7,28,35,36,17.0,4,6,1,20,12,129,13.0
37,CHI,22000368,2021-02-08T00:00:00,CHI vs. WAS,L,48.0,36,85,0.424,9,30,0.3,20,24,0.833,10,40,50,23,16.0,6,3,4,26,21,101,-4.0
38,CHI,22000353,2021-02-06T00:00:00,CHI @ ORL,W,48.0,47,91,0.516,15,30,0.5,9,13,0.692,11,36,47,28,12.0,6,10,10,12,10,118,26.0
39,CHI,22000344,2021-02-05T00:00:00,CHI @ ORL,L,48.0,46,96,0.479,9,30,0.3,18,20,0.9,10,30,40,27,8.0,9,5,2,22,22,119,-4.0
40,CHI,22000332,2021-02-03T00:00:00,CHI vs. NYK,L,48.0,43,88,0.489,6,36,0.167,11,16,0.688,6,32,38,25,9.0,11,3,4,14,18,103,-4.0
41,CHI,22000315,2021-02-01T00:00:00,CHI vs. NYK,W,48.0,42,88,0.477,11,34,0.324,15,20,0.75,7,33,40,30,12.0,3,1,6,19,19,110,8.0
42,CHI,22000298,2021-01-30T00:00:00,CHI vs. POR,L,48.0,43,85,0.506,21,45,0.467,15,15,1.0,11,32,43,31,15.0,5,2,1,14,17,122,-1.0
43,CHI,22000262,2021-01-25T00:00:00,CHI vs. BOS,L,48.0,41,88,0.466,17,39,0.436,4,10,0.4,9,32,41,28,19.0,4,7,6,16,18,103,-16.0
44,CHI,22000245,2021-01-23T00:00:00,CHI vs. LAL,L,48.0,33,84,0.393,8,25,0.32,16,22,0.727,10,35,45,18,19.0,8,1,4,28,18,90,-11.0
45,CHI,22000229,2021-01-22T00:00:00,CHI @ CHA,W,48.0,49,96,0.51,15,43,0.349,10,12,0.833,15,28,43,33,16.0,11,4,1,21,12,123,13.0
46,CHI,22000211,2021-01-18T00:00:00,CHI vs. HOU,W,48.0,43,92,0.467,20,45,0.444,19,21,0.905,10,37,47,23,19.0,10,3,1,19,20,125,5.0
47,CHI,22000198,2021-01-17T00:00:00,CHI @ DAL,W,48.0,43,85,0.506,7,25,0.28,24,33,0.727,5,42,47,32,14.0,14,6,2,23,23,117,16.0
48,CHI,22000184,2021-01-15T00:00:00,CHI @ OKC,L,53.0,43,91,0.473,21,46,0.457,18,25,0.72,9,47,56,27,24.0,5,8,2,25,23,125,-2.0
49,CHI,22000142,2021-01-10T00:00:00,CHI @ LAC,L,48.0,47,77,0.61,18,33,0.545,15,17,0.882,3,35,38,30,23.0,6,2,5,19,19,127,-3.0
50,CHI,22000131,2021-01-08T00:00:00,CHI @ LAL,L,48.0,46,91,0.505,10,26,0.385,13,14,0.929,9,32,41,26,13.0,10,3,8,23,15,115,-2.0
51,CHI,22000117,2021-01-06T00:00:00,CHI @ SAC,L,48.0,49,93,0.527,14,40,0.35,12,15,0.8,10,33,43,27,16.0,3,2,3,21,16,124,-4.0
52,CHI,22000106,2021-01-05T00:00:00,CHI @ POR,W,48.0,40,91,0.44,16,41,0.39,15,18,0.833,11,41,52,27,15.0,5,5,3,19,16,111,3.0
53,CHI,22000090,2021-01-03T00:00:00,CHI vs. DAL,W,48.0,39,85,0.459,13,37,0.351,27,30,0.9,11,37,48,16,16.0,11,2,4,24,27,118,10.0
54,CHI,22000073,2021-01-01T00:00:00,CHI @ MIL,L,48.0,38,87,0.437,6,26,0.231,14,20,0.7,6,36,42,18,21.0,10,6,6,21,19,96,-30.0
55,CHI,22000063,2020-12-31T00:00:00,CHI @ WAS,W,48.0,50,92,0.543,14,36,0.389,19,25,0.76,9,35,44,34,17.0,9,3,4,27,27,133,3.0
56,CHI,22000050,2020-12-29T00:00:00,CHI @ WAS,W,48.0,38,87,0.437,15,36,0.417,24,32,0.75,5,32,37,26,14.0,7,1,6,23,28,115,8.0
57,CHI,22000038,2020-12-27T00:00:00,CHI vs. GSW,L,48.0,44,86,0.512,17,41,0.415,23,31,0.742,7,47,54,27,24.0,4,6,4,21,23,128,-1.0
58,CHI,22000026,2020-12-26T00:00:00,CHI vs. IND,L,48.0,34,91,0.374,16,39,0.41,22,25,0.88,13,28,41,23,20.0,7,7,4,16,26,106,-19.0
59,CHI,22000015,2020-12-23T00:00:00,CHI vs. ATL,L,48.0,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,17.0,10,3,3,22,29,104,-20.0
