,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,CLE,22000900,2021-04-23T00:00:00,CLE @ CHA,L,48.0,41,80,0.513,10,30,0.333,10,14,0.714,11,36,47,27,17.0,4,1,1,20,16,102,-6.0
2,CLE,22000881,2021-04-21T00:00:00,CLE vs. CHI,W,48.0,45,88,0.511,16,36,0.444,15,19,0.789,9,32,41,27,12.0,8,1,4,19,24,121,16.0
3,CLE,22000868,2021-04-19T00:00:00,CLE @ DET,L,48.0,42,86,0.488,5,26,0.192,16,20,0.8,9,30,39,24,18.0,9,8,5,21,22,105,-4.0
4,CLE,22000857,2021-04-17T00:00:00,CLE @ CHI,L,48.0,39,88,0.443,12,30,0.4,6,7,0.857,11,33,44,27,11.0,6,1,2,10,15,96,-10.0
5,CLE,22000841,2021-04-15T00:00:00,CLE vs. GSW,L,48.0,35,81,0.432,10,31,0.323,21,27,0.778,8,31,39,21,15.0,11,2,5,20,24,101,-18.0
6,CLE,22000829,2021-04-14T00:00:00,CLE @ CHA,W,48.0,37,76,0.487,13,31,0.419,16,19,0.842,9,38,47,27,16.0,9,7,5,11,18,103,13.0
7,CLE,22000807,2021-04-11T00:00:00,CLE vs. NOP,L,48.0,41,85,0.482,13,40,0.325,14,17,0.824,9,27,36,29,17.0,7,5,3,23,16,109,-7.0
8,CLE,22000794,2021-04-10T00:00:00,CLE vs. TOR,L,48.0,39,86,0.453,15,35,0.429,22,26,0.846,7,25,32,27,17.0,11,5,11,13,18,115,-20.0
9,CLE,22000785,2021-04-08T00:00:00,CLE @ OKC,W,48.0,48,94,0.511,13,37,0.351,20,24,0.833,9,35,44,35,7.0,8,3,5,12,20,129,27.0
10,CLE,22000767,2021-04-05T00:00:00,CLE @ SAS,W,48.0,45,86,0.523,12,34,0.353,23,27,0.852,7,40,47,29,9.0,5,4,3,24,22,125,24.0
11,CLE,22000749,2021-04-03T00:00:00,CLE @ MIA,L,48.0,35,74,0.473,10,31,0.323,21,25,0.84,5,30,35,25,16.0,7,4,3,15,20,101,-14.0
12,CLE,22000731,2021-04-01T00:00:00,CLE vs. PHI,L,48.0,34,80,0.425,10,35,0.286,16,21,0.762,4,36,40,26,18.0,5,3,8,24,19,94,-20.0
13,CLE,22000715,2021-03-29T00:00:00,CLE @ UTA,L,48.0,29,83,0.349,7,34,0.206,10,16,0.625,6,34,40,17,10.0,5,5,5,18,14,75,-39.0
14,CLE,22000702,2021-03-27T00:00:00,CLE @ SAC,L,48.0,37,84,0.44,9,26,0.346,15,23,0.652,7,29,36,20,10.0,11,2,9,13,20,98,-2.0
15,CLE,22000693,2021-03-26T00:00:00,CLE @ LAL,L,48.0,31,80,0.388,5,26,0.192,19,28,0.679,10,27,37,24,21.0,11,4,3,19,23,86,-14.0
16,CLE,22000671,2021-03-24T00:00:00,CLE @ CHI,W,48.0,42,92,0.457,11,29,0.379,8,10,0.8,12,34,46,28,11.0,8,7,4,16,12,103,9.0
17,CLE,22000653,2021-03-22T00:00:00,CLE vs. SAC,L,48.0,41,96,0.427,4,17,0.235,19,23,0.826,10,29,39,22,10.0,13,4,7,11,17,105,-14.0
18,CLE,22000648,2021-03-21T00:00:00,CLE vs. TOR,W,48.0,39,77,0.506,17,33,0.515,21,28,0.75,7,47,54,29,27.0,8,4,3,19,26,116,11.0
19,CLE,22000435,2021-03-19T00:00:00,CLE vs. SAS,L,48.0,39,89,0.438,7,27,0.259,25,32,0.781,15,32,47,19,11.0,8,4,4,21,25,110,-6.0
20,CLE,22000620,2021-03-17T00:00:00,CLE vs. BOS,W,48.0,40,74,0.541,10,23,0.435,27,33,0.818,7,33,40,23,17.0,6,3,9,17,27,117,7.0
21,CLE,22000610,2021-03-16T00:00:00,CLE @ MIA,L,48.0,39,86,0.453,10,35,0.286,10,14,0.714,15,27,42,23,14.0,7,6,5,19,18,98,-15.0
22,CLE,22000597,2021-03-14T00:00:00,CLE @ ATL,L,48.0,31,81,0.383,8,30,0.267,12,23,0.522,14,20,34,19,13.0,4,5,6,18,21,82,-18.0
23,CLE,22000581,2021-03-12T00:00:00,CLE @ NOP,L,48.0,30,88,0.341,7,32,0.219,15,20,0.75,5,28,33,13,7.0,8,9,7,18,18,82,-34.0
24,CLE,22000543,2021-03-03T00:00:00,CLE vs. IND,L,48.0,43,83,0.518,11,28,0.393,14,15,0.933,11,32,43,29,26.0,8,1,8,18,16,111,-3.0
25,CLE,22000532,2021-03-01T00:00:00,CLE @ HOU,W,48.0,36,73,0.493,10,30,0.333,19,24,0.792,6,42,48,23,21.0,7,6,4,18,18,101,11.0
26,CLE,22000513,2021-02-27T00:00:00,CLE @ PHI,W,53.0,41,97,0.423,8,24,0.333,22,29,0.759,13,39,52,24,17.0,12,3,10,26,26,112,3.0
27,CLE,22000491,2021-02-24T00:00:00,CLE vs. HOU,W,48.0,43,85,0.506,16,36,0.444,10,15,0.667,11,44,55,24,18.0,4,10,8,20,15,112,16.0
28,CLE,22000480,2021-02-23T00:00:00,CLE vs. ATL,W,48.0,41,78,0.526,15,28,0.536,15,19,0.789,7,29,36,28,16.0,7,10,4,19,19,112,1.0
29,CLE,22000466,2021-02-21T00:00:00,CLE vs. OKC,L,48.0,39,84,0.464,8,35,0.229,15,20,0.75,14,28,42,22,18.0,9,4,3,17,18,101,-16.0
30,CLE,22000563,2021-02-19T00:00:00,CLE vs. DEN,L,48.0,39,83,0.47,12,31,0.387,13,21,0.619,13,21,34,30,18.0,8,4,2,15,17,103,-17.0
31,CLE,22000424,2021-02-15T00:00:00,CLE @ GSW,L,48.0,37,95,0.389,8,30,0.267,16,20,0.8,15,34,49,19,18.0,10,3,10,24,23,98,-31.0
32,CLE,22000419,2021-02-14T00:00:00,CLE @ LAC,L,48.0,43,93,0.462,7,25,0.28,18,25,0.72,11,29,40,25,15.0,4,4,5,27,21,111,-17.0
33,CLE,22000404,2021-02-12T00:00:00,CLE @ POR,L,48.0,38,87,0.437,8,23,0.348,26,37,0.703,10,31,41,20,11.0,6,3,4,21,29,110,-19.0
34,CLE,22000388,2021-02-10T00:00:00,CLE @ DEN,L,48.0,36,94,0.383,8,37,0.216,15,20,0.75,18,31,49,25,17.0,7,7,9,18,18,95,-38.0
35,CLE,22000372,2021-02-08T00:00:00,CLE @ PHX,L,48.0,44,86,0.512,8,24,0.333,17,25,0.68,9,30,39,23,10.0,5,5,6,20,20,113,-6.0
36,CLE,22000357,2021-02-06T00:00:00,CLE vs. MIL,L,48.0,39,86,0.453,6,28,0.214,15,21,0.714,8,32,40,21,15.0,4,1,2,19,20,99,-25.0
37,CLE,22000346,2021-02-05T00:00:00,CLE vs. MIL,L,48.0,41,92,0.446,11,32,0.344,12,16,0.75,6,30,36,23,11.0,7,9,7,19,18,105,-18.0
38,CLE,22000328,2021-02-03T00:00:00,CLE vs. LAC,L,48.0,41,92,0.446,4,10,0.4,13,17,0.765,11,26,37,21,8.0,8,6,6,14,20,99,-22.0
39,CLE,22000312,2021-02-01T00:00:00,CLE vs. MIN,W,48.0,35,84,0.417,7,22,0.318,23,31,0.742,15,37,52,26,15.0,4,12,1,12,21,100,2.0
40,CLE,22000311,2021-01-31T00:00:00,CLE @ MIN,L,48.0,41,84,0.488,4,16,0.25,18,23,0.783,10,45,55,20,19.0,3,3,11,14,25,104,-5.0
41,CLE,22000291,2021-01-29T00:00:00,CLE @ NYK,L,48.0,29,84,0.345,8,26,0.308,15,18,0.833,14,29,43,15,14.0,8,5,6,20,24,81,-21.0
42,CLE,22000272,2021-01-27T00:00:00,CLE vs. DET,W,48.0,47,87,0.54,11,21,0.524,17,23,0.739,8,29,37,24,17.0,14,7,5,22,21,122,15.0
43,CLE,22000261,2021-01-25T00:00:00,CLE vs. LAL,L,48.0,40,86,0.465,9,21,0.429,19,22,0.864,15,29,44,19,17.0,8,3,7,25,23,108,-7.0
44,CLE,22000250,2021-01-24T00:00:00,CLE @ BOS,L,48.0,34,85,0.4,10,33,0.303,25,34,0.735,11,23,34,24,17.0,10,8,8,23,23,103,-38.0
45,CLE,22000232,2021-01-22T00:00:00,CLE vs. BKN,W,48.0,45,87,0.517,8,25,0.32,27,32,0.844,13,37,50,24,15.0,7,3,8,18,25,125,12.0
46,CLE,22000216,2021-01-20T00:00:00,CLE vs. BKN,W,58.0,56,109,0.514,20,40,0.5,15,21,0.714,12,38,50,29,15.0,10,6,11,21,24,147,12.0
47,CLE,22000181,2021-01-15T00:00:00,CLE vs. NYK,W,48.0,36,79,0.456,9,27,0.333,25,34,0.735,14,34,48,26,16.0,9,6,10,18,21,106,3.0
