,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,DAL,22000897,2021-04-22T00:00:00,DAL vs. LAL,W,48.0,40,82,0.488,9,24,0.375,26,36,0.722,9,29,38,23,12.0,11,5,5,15,28,115,5.0
2,DAL,22000442,2021-04-21T00:00:00,DAL vs. DET,W,48.0,46,92,0.5,16,43,0.372,19,26,0.731,11,32,43,25,6.0,8,2,2,22,24,127,10.0
3,DAL,22000866,2021-04-18T00:00:00,DAL vs. SAC,L,48.0,39,87,0.448,16,48,0.333,13,20,0.65,10,32,42,15,14.0,3,8,3,20,19,107,-14.0
4,DAL,22000854,2021-04-16T00:00:00,DAL vs. NYK,L,48.0,40,91,0.44,15,45,0.333,14,19,0.737,10,31,41,30,9.0,6,7,5,17,20,109,-8.0
5,DAL,22000837,2021-04-14T00:00:00,DAL @ MEM,W,48.0,44,88,0.5,13,40,0.325,13,17,0.765,8,37,45,25,11.0,4,3,3,17,18,114,1.0
6,DAL,22000818,2021-04-12T00:00:00,DAL vs. PHI,L,48.0,35,83,0.422,9,36,0.25,16,20,0.8,11,35,46,16,15.0,7,3,4,24,20,95,-18.0
7,DAL,22000810,2021-04-11T00:00:00,DAL vs. SAS,L,48.0,45,94,0.479,13,42,0.31,14,15,0.933,11,26,37,25,12.0,5,3,7,21,20,117,-2.0
8,DAL,22000786,2021-04-08T00:00:00,DAL vs. MIL,W,48.0,43,97,0.443,17,45,0.378,13,18,0.722,15,41,56,23,11.0,6,8,1,15,20,116,15.0
9,DAL,22000456,2021-04-07T00:00:00,DAL @ HOU,L,48.0,33,87,0.379,10,39,0.256,17,22,0.773,11,35,46,16,9.0,4,5,5,15,18,93,-9.0
10,DAL,22000764,2021-04-05T00:00:00,DAL vs. UTA,W,48.0,41,91,0.451,23,49,0.469,6,8,0.75,10,34,44,22,10.0,2,2,4,18,18,111,8.0
11,DAL,22000747,2021-04-03T00:00:00,DAL @ WAS,W,48.0,40,90,0.444,10,30,0.333,19,24,0.792,14,36,50,17,8.0,7,4,3,22,21,109,22.0
12,DAL,22000739,2021-04-02T00:00:00,DAL @ NYK,W,48.0,41,88,0.466,12,37,0.324,5,10,0.5,4,43,47,19,10.0,6,2,3,12,17,99,13.0
13,DAL,22000723,2021-03-31T00:00:00,DAL @ BOS,W,48.0,38,77,0.494,19,39,0.487,18,25,0.72,4,39,43,20,20.0,6,4,2,18,19,113,5.0
14,DAL,22000713,2021-03-29T00:00:00,DAL @ OKC,W,48.0,51,96,0.531,16,44,0.364,9,13,0.692,8,35,43,30,9.0,11,3,4,21,14,127,21.0
15,DAL,22000698,2021-03-27T00:00:00,DAL @ NOP,L,48.0,37,83,0.446,10,31,0.323,19,24,0.792,10,28,38,19,7.0,2,4,5,20,18,103,-9.0
16,DAL,22000690,2021-03-26T00:00:00,DAL vs. IND,L,48.0,39,95,0.411,8,35,0.229,8,14,0.571,15,36,51,17,16.0,4,4,10,18,17,94,-15.0
17,DAL,22000673,2021-03-24T00:00:00,DAL @ MIN,W,48.0,48,99,0.485,16,44,0.364,16,22,0.727,14,39,53,27,10.0,5,6,2,22,25,128,20.0
18,DAL,22000652,2021-03-21T00:00:00,DAL @ POR,W,48.0,48,86,0.558,19,37,0.514,17,20,0.85,8,44,52,23,11.0,4,3,3,17,17,132,40.0
