,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,DEN,22000903,2021-04-23T00:00:00,DEN @ GSW,L,48.0,34,88,0.386,13,46,0.283,16,20,0.8,6,30,36,26,9.0,9,7,4,14,15,97,-21.0
2,DEN,22000890,2021-04-21T00:00:00,DEN @ POR,W,48.0,39,88,0.443,13,39,0.333,15,17,0.882,16,30,46,24,14.0,7,5,2,16,16,106,1.0
3,DEN,22000874,2021-04-19T00:00:00,DEN vs. MEM,W,58.0,51,102,0.5,15,39,0.385,22,26,0.846,13,45,58,30,24.0,6,6,3,19,24,139,2.0
4,DEN,22000851,2021-04-16T00:00:00,DEN @ HOU,W,48.0,46,94,0.489,9,31,0.29,27,31,0.871,18,36,54,22,9.0,11,3,3,15,19,128,29.0
5,DEN,22000838,2021-04-14T00:00:00,DEN vs. MIA,W,48.0,48,89,0.539,17,36,0.472,10,13,0.769,11,32,43,32,11.0,5,7,8,19,13,123,17.0
6,DEN,22000821,2021-04-12T00:00:00,DEN @ GSW,L,48.0,39,83,0.47,8,26,0.308,21,25,0.84,10,31,41,23,20.0,11,2,3,24,22,107,-9.0
7,DEN,22000806,2021-04-11T00:00:00,DEN vs. BOS,L,48.0,32,88,0.364,8,34,0.235,15,18,0.833,13,33,46,23,9.0,5,4,7,20,18,87,-18.0
8,DEN,22000797,2021-04-09T00:00:00,DEN vs. SAS,W,48.0,43,79,0.544,14,27,0.519,21,23,0.913,9,37,46,32,18.0,5,4,2,22,21,121,2.0
9,DEN,22000782,2021-04-07T00:00:00,DEN vs. SAS,W,48.0,40,91,0.44,8,26,0.308,18,24,0.75,12,41,53,26,19.0,10,6,4,18,19,106,10.0
10,DEN,22000321,2021-04-06T00:00:00,DEN vs. DET,W,48.0,56,94,0.596,14,31,0.452,8,9,0.889,13,31,44,36,11.0,7,5,2,20,12,134,15.0
11,DEN,22000761,2021-04-04T00:00:00,DEN vs. ORL,W,48.0,43,88,0.489,9,29,0.31,24,31,0.774,19,35,54,27,15.0,6,5,4,14,26,119,10.0
12,DEN,22000736,2021-04-01T00:00:00,DEN @ LAC,W,48.0,39,81,0.481,13,25,0.52,10,14,0.714,7,31,38,28,13.0,6,5,5,16,19,101,7.0
13,DEN,22000719,2021-03-30T00:00:00,DEN vs. PHI,W,48.0,39,81,0.481,12,31,0.387,14,17,0.824,9,42,51,26,20.0,9,6,6,16,18,104,9.0
14,DEN,22000705,2021-03-28T00:00:00,DEN vs. ATL,W,48.0,50,92,0.543,15,36,0.417,11,16,0.688,15,34,49,32,10.0,7,3,3,15,16,126,24.0
15,DEN,22000689,2021-03-26T00:00:00,DEN @ NOP,W,48.0,47,93,0.505,14,28,0.5,5,7,0.714,11,25,36,28,8.0,7,7,7,16,11,113,5.0
16,DEN,22000668,2021-03-24T00:00:00,DEN @ TOR,L,48.0,41,98,0.418,14,43,0.326,15,18,0.833,17,29,46,25,12.0,5,2,6,19,21,111,-24.0
