,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,DET,22000895,2021-04-22T00:00:00,DET @ SAS,L,48.0,35,77,0.455,8,22,0.364,13,22,0.591,9,34,43,15,18.0,2,5,7,22,19,91,-15.0
2,DET,22000442,2021-04-21T00:00:00,DET @ DAL,L,48.0,40,79,0.506,13,32,0.406,24,31,0.774,7,35,42,30,14.0,2,2,2,24,22,117,-10.0
3,DET,22000868,2021-04-19T00:00:00,DET vs. CLE,W,48.0,42,86,0.488,10,27,0.37,15,21,0.714,10,34,44,25,17.0,8,5,8,22,21,109,4.0
4,DET,22000856,2021-04-17T00:00:00,DET @ WAS,L,48.0,37,84,0.44,9,27,0.333,17,23,0.739,9,36,45,19,18.0,7,6,6,20,24,100,-21.0
5,DET,22000845,2021-04-16T00:00:00,DET vs. OKC,W,48.0,38,90,0.422,10,35,0.286,24,34,0.706,15,39,54,22,18.0,13,7,8,24,23,110,6.0
6,DET,22000832,2021-04-14T00:00:00,DET vs. LAC,L,48.0,37,85,0.435,7,24,0.292,17,22,0.773,11,35,46,17,16.0,5,4,2,21,20,98,-2.0
7,DET,22000813,2021-04-11T00:00:00,DET @ LAC,L,48.0,46,87,0.529,15,32,0.469,17,19,0.895,12,19,31,33,13.0,12,4,5,24,18,124,-7.0
8,DET,22000804,2021-04-10T00:00:00,DET @ POR,L,48.0,37,83,0.446,9,26,0.346,20,28,0.714,9,29,38,25,12.0,9,6,8,23,20,103,-15.0
9,DET,22000789,2021-04-08T00:00:00,DET @ SAC,W,48.0,44,84,0.524,8,23,0.348,17,20,0.85,7,36,43,24,16.0,7,4,4,24,21,113,12.0
10,DET,22000321,2021-04-06T00:00:00,DET @ DEN,L,48.0,44,81,0.543,15,35,0.429,16,20,0.8,7,23,30,27,13.0,4,2,5,12,20,119,-15.0
11,DET,22000766,2021-04-05T00:00:00,DET @ OKC,W,48.0,49,95,0.516,13,28,0.464,21,24,0.875,13,37,50,32,14.0,10,7,6,20,20,132,24.0
12,DET,22000748,2021-04-03T00:00:00,DET vs. NYK,L,48.0,29,82,0.354,9,28,0.321,14,20,0.7,12,31,43,20,15.0,4,4,11,20,18,81,-44.0
13,DET,22000179,2021-04-01T00:00:00,DET vs. WAS,W,48.0,45,94,0.479,12,29,0.414,18,22,0.818,10,38,48,31,13.0,8,5,6,18,21,120,29.0
14,DET,22000721,2021-03-31T00:00:00,DET vs. POR,L,48.0,40,86,0.465,9,27,0.333,12,17,0.706,5,31,36,29,17.0,7,7,7,26,20,101,-23.0
