,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,GSW,22000903,2021-04-23T00:00:00,GSW vs. DEN,W,48.0,45,84,0.536,15,39,0.385,13,18,0.722,7,45,52,40,15.0,8,4,7,15,14,118,21.0
2,GSW,22000885,2021-04-21T00:00:00,GSW @ WAS,L,48.0,40,101,0.396,15,45,0.333,19,21,0.905,10,34,44,22,17.0,15,5,7,23,16,114,-4.0
3,GSW,22000870,2021-04-19T00:00:00,GSW @ PHI,W,48.0,34,76,0.447,14,32,0.438,25,32,0.781,6,39,45,15,16.0,2,5,6,19,21,107,11.0
4,GSW,22000858,2021-04-17T00:00:00,GSW @ BOS,L,48.0,41,80,0.513,17,40,0.425,15,20,0.75,8,32,40,22,18.0,6,2,2,23,18,114,-5.0
5,GSW,22000841,2021-04-15T00:00:00,GSW @ CLE,W,48.0,47,92,0.511,17,46,0.37,8,10,0.8,9,38,47,33,16.0,9,5,2,24,20,119,18.0
6,GSW,22000836,2021-04-14T00:00:00,GSW @ OKC,W,48.0,52,95,0.547,24,47,0.511,19,23,0.826,9,32,41,39,14.0,12,6,2,20,22,147,38.0
7,GSW,22000821,2021-04-12T00:00:00,GSW vs. DEN,W,48.0,39,81,0.481,18,44,0.409,20,22,0.909,4,32,36,23,16.0,11,3,2,22,24,116,9.0
8,GSW,22000802,2021-04-10T00:00:00,GSW vs. HOU,W,48.0,49,91,0.538,14,35,0.4,13,16,0.813,9,36,45,31,16.0,13,5,3,19,17,125,16.0
9,GSW,22000798,2021-04-09T00:00:00,GSW vs. WAS,L,48.0,41,88,0.466,11,36,0.306,14,21,0.667,8,33,41,27,13.0,15,3,1,20,16,107,-3.0
10,GSW,22000774,2021-04-06T00:00:00,GSW vs. MIL,W,48.0,46,96,0.479,15,40,0.375,15,17,0.882,12,30,42,28,11.0,6,5,2,18,13,122,1.0
11,GSW,22000759,2021-04-04T00:00:00,GSW @ ATL,L,48.0,43,92,0.467,10,40,0.25,15,21,0.714,9,36,45,25,16.0,12,6,3,26,19,111,-6.0
12,GSW,22000737,2021-04-02T00:00:00,GSW @ TOR,L,48.0,26,79,0.329,11,34,0.324,14,18,0.778,7,31,38,19,21.0,5,4,8,18,17,77,-53.0
13,GSW,22000733,2021-04-01T00:00:00,GSW @ MIA,L,48.0,36,82,0.439,15,37,0.405,22,25,0.88,12,34,46,23,20.0,7,3,6,26,22,109,-7.0
14,GSW,22000716,2021-03-29T00:00:00,GSW vs. CHI,W,48.0,46,92,0.5,16,38,0.421,8,9,0.889,10,29,39,28,15.0,9,8,5,14,18,116,14.0
15,GSW,22000692,2021-03-26T00:00:00,GSW vs. ATL,L,48.0,39,79,0.494,12,28,0.429,18,26,0.692,5,28,33,29,13.0,7,4,5,22,23,108,-16.0
16,GSW,22000682,2021-03-25T00:00:00,GSW @ SAC,L,48.0,45,88,0.511,17,32,0.531,12,12,1.0,7,31,38,24,12.0,4,0,4,19,13,119,-22.0
17,GSW,22000665,2021-03-23T00:00:00,GSW vs. PHI,L,48.0,36,83,0.434,8,25,0.32,18,26,0.692,6,32,38,22,13.0,5,7,4,23,24,98,-10.0
18,GSW,22000642,2021-03-20T00:00:00,GSW @ MEM,L,48.0,31,90,0.344,13,41,0.317,28,34,0.824,7,39,46,23,12.0,8,7,5,25,22,103,-8.0
19,GSW,22000636,2021-03-19T00:00:00,GSW @ MEM,W,48.0,44,91,0.484,15,41,0.366,13,18,0.722,8,35,43,31,13.0,13,6,6,16,17,116,13.0
20,GSW,22000622,2021-03-17T00:00:00,GSW @ HOU,W,48.0,41,90,0.456,16,45,0.356,10,12,0.833,6,42,48,32,13.0,7,4,3,26,15,108,14.0
21,GSW,22000608,2021-03-15T00:00:00,GSW vs. LAL,L,48.0,34,79,0.43,13,37,0.351,16,24,0.667,9,21,30,24,22.0,9,2,3,23,25,97,-31.0
22,GSW,22000594,2021-03-14T00:00:00,GSW vs. UTA,W,48.0,50,89,0.562,16,31,0.516,15,18,0.833,5,35,40,33,14.0,12,2,6,26,16,131,12.0
