,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,HOU,22000901,2021-04-23T00:00:00,HOU vs. LAC,L,48.0,36,89,0.404,13,42,0.31,19,22,0.864,9,38,47,24,14.0,7,5,3,19,19,104,-5.0
2,HOU,22000887,2021-04-21T00:00:00,HOU vs. UTA,L,48.0,35,99,0.354,10,49,0.204,9,17,0.529,12,38,50,17,11.0,7,5,4,21,16,89,-23.0
3,HOU,22000871,2021-04-19T00:00:00,HOU @ MIA,L,48.0,33,85,0.388,9,38,0.237,16,17,0.941,6,35,41,20,13.0,8,3,5,7,19,91,-22.0
4,HOU,22000864,2021-04-18T00:00:00,HOU @ ORL,W,48.0,42,82,0.512,16,34,0.471,14,20,0.7,10,33,43,26,19.0,7,7,5,21,19,114,4.0
5,HOU,22000851,2021-04-16T00:00:00,HOU vs. DEN,L,48.0,38,86,0.442,11,35,0.314,12,18,0.667,8,27,35,23,14.0,7,3,3,19,15,99,-29.0
6,HOU,22000461,2021-04-14T00:00:00,HOU vs. IND,L,48.0,48,104,0.462,10,34,0.294,18,22,0.818,16,31,47,22,15.0,12,6,6,17,16,124,-8.0
7,HOU,22000822,2021-04-12T00:00:00,HOU @ PHX,L,48.0,44,87,0.506,17,42,0.405,15,19,0.789,12,39,51,32,21.0,9,3,3,15,18,120,-6.0
8,HOU,22000802,2021-04-10T00:00:00,HOU @ GSW,L,48.0,41,88,0.466,13,37,0.351,14,20,0.7,13,32,45,25,18.0,8,3,5,17,19,109,-16.0
9,HOU,22000799,2021-04-09T00:00:00,HOU @ LAC,L,48.0,39,83,0.47,12,37,0.324,19,27,0.704,12,29,41,28,14.0,3,6,4,15,24,109,-17.0
10,HOU,22000456,2021-04-07T00:00:00,HOU vs. DAL,W,48.0,38,88,0.432,17,44,0.386,9,16,0.563,10,39,49,21,11.0,7,5,5,18,15,102,9.0
11,HOU,22000768,2021-04-05T00:00:00,HOU vs. PHX,L,48.0,43,79,0.544,17,33,0.515,27,33,0.818,5,33,38,28,18.0,6,3,3,25,22,130,-3.0
12,HOU,22000760,2021-04-04T00:00:00,HOU vs. NOP,L,48.0,41,89,0.461,16,40,0.4,17,24,0.708,9,39,48,25,17.0,3,3,9,24,27,115,-7.0
13,HOU,22000738,2021-04-02T00:00:00,HOU @ BOS,L,48.0,37,86,0.43,12,36,0.333,16,26,0.615,10,30,40,26,14.0,6,1,7,11,22,102,-16.0
14,HOU,22000724,2021-03-31T00:00:00,HOU @ BKN,L,48.0,39,78,0.5,13,40,0.325,17,24,0.708,6,25,31,22,13.0,5,8,3,21,21,108,-12.0
15,HOU,22000712,2021-03-29T00:00:00,HOU vs. MEM,L,48.0,40,94,0.426,11,42,0.262,19,22,0.864,10,32,42,28,12.0,9,5,4,18,18,110,-10.0
16,HOU,22000696,2021-03-27T00:00:00,HOU @ MIN,W,48.0,50,92,0.543,18,39,0.462,11,13,0.846,10,31,41,29,12.0,7,7,6,24,15,129,22.0
17,HOU,22000688,2021-03-26T00:00:00,HOU @ MIN,L,48.0,37,87,0.425,17,44,0.386,10,13,0.769,7,40,47,26,21.0,5,9,3,20,13,101,-6.0
18,HOU,22000672,2021-03-24T00:00:00,HOU vs. CHA,L,48.0,33,86,0.384,16,49,0.327,15,22,0.682,10,29,39,24,7.0,6,2,3,19,20,97,-25.0
19,HOU,22000657,2021-03-22T00:00:00,HOU vs. TOR,W,48.0,41,90,0.456,14,36,0.389,21,26,0.808,10,37,47,28,12.0,7,7,5,21,24,117,18.0
20,HOU,22000016,2021-03-21T00:00:00,HOU vs. OKC,L,48.0,39,79,0.494,14,38,0.368,20,27,0.741,8,30,38,22,16.0,7,4,2,20,21,112,-2.0
21,HOU,22000635,2021-03-19T00:00:00,HOU vs. DET,L,48.0,39,88,0.443,9,32,0.281,13,16,0.813,7,31,38,21,15.0,7,4,4,17,17,100,-13.0
22,HOU,22000622,2021-03-17T00:00:00,HOU vs. GSW,L,48.0,33,80,0.413,7,27,0.259,21,40,0.525,8,40,48,19,16.0,7,3,4,15,26,94,-14.0
23,HOU,22000613,2021-03-16T00:00:00,HOU vs. ATL,L,48.0,42,88,0.477,13,34,0.382,10,13,0.769,10,27,37,27,13.0,6,6,6,19,18,107,-12.0
24,HOU,22000598,2021-03-14T00:00:00,HOU vs. BOS,L,48.0,35,91,0.385,16,50,0.32,21,31,0.677,10,27,37,23,11.0,8,5,3,19,22,107,-27.0
25,HOU,22000584,2021-03-12T00:00:00,HOU @ UTA,L,48.0,41,112,0.366,9,43,0.209,8,13,0.615,19,31,50,15,11.0,11,5,10,19,17,99,-15.0
26,HOU,22000578,2021-03-11T00:00:00,HOU @ SAC,L,48.0,41,99,0.414,11,45,0.244,12,17,0.706,10,34,44,24,13.0,7,6,5,22,19,105,-20.0
27,HOU,22000546,2021-03-03T00:00:00,HOU vs. BKN,L,48.0,38,91,0.418,18,43,0.419,20,28,0.714,12,25,37,24,9.0,10,5,1,18,24,114,-18.0
28,HOU,22000532,2021-03-01T00:00:00,HOU vs. CLE,L,48.0,31,76,0.408,10,31,0.323,18,24,0.75,4,26,30,13,14.0,13,4,6,18,18,90,-11.0
29,HOU,22000525,2021-02-28T00:00:00,HOU vs. MEM,L,48.0,23,83,0.277,4,45,0.089,34,41,0.829,12,26,38,10,23.0,7,6,3,24,31,84,-49.0
30,HOU,22000506,2021-02-26T00:00:00,HOU @ TOR,L,48.0,39,91,0.429,16,47,0.34,17,20,0.85,7,30,37,23,11.0,4,5,8,24,20,111,-11.0
31,HOU,22000491,2021-02-24T00:00:00,HOU @ CLE,L,48.0,36,90,0.4,10,33,0.303,14,17,0.824,9,24,33,18,7.0,8,8,10,15,20,96,-16.0
32,HOU,22000474,2021-02-22T00:00:00,HOU vs. CHI,L,48.0,37,96,0.385,13,40,0.325,13,19,0.684,11,35,46,20,9.0,7,4,5,16,17,100,-20.0
33,HOU,22000439,2021-02-17T00:00:00,HOU @ PHI,L,48.0,42,92,0.457,15,47,0.319,14,18,0.778,9,30,39,26,18.0,13,6,6,24,21,113,-5.0
34,HOU,22000421,2021-02-15T00:00:00,HOU @ WAS,L,48.0,43,91,0.473,8,37,0.216,25,34,0.735,9,32,41,23,18.0,9,5,2,22,24,119,-12.0
35,HOU,22000408,2021-02-13T00:00:00,HOU @ NYK,L,48.0,33,88,0.375,8,43,0.186,25,30,0.833,12,34,46,17,9.0,5,5,4,17,21,99,-22.0
36,HOU,22000392,2021-02-11T00:00:00,HOU vs. MIA,L,48.0,32,83,0.386,15,50,0.3,15,20,0.75,8,34,42,24,15.0,7,1,3,20,21,94,-7.0
37,HOU,22000377,2021-02-09T00:00:00,HOU @ NOP,L,48.0,38,91,0.418,13,43,0.302,12,21,0.571,12,25,37,24,12.0,5,4,6,23,20,101,-29.0
38,HOU,22000367,2021-02-08T00:00:00,HOU @ CHA,L,48.0,35,86,0.407,13,47,0.277,11,16,0.688,8,31,39,20,12.0,9,4,6,18,15,94,-25.0
39,HOU,22000358,2021-02-06T00:00:00,HOU vs. SAS,L,48.0,38,88,0.432,12,38,0.316,18,25,0.72,6,40,46,21,14.0,5,6,7,25,18,106,-5.0
40,HOU,22000340,2021-02-04T00:00:00,HOU @ MEM,W,48.0,41,87,0.471,19,45,0.422,14,17,0.824,8,36,44,26,15.0,8,3,6,19,15,115,12.0
41,HOU,22000333,2021-02-03T00:00:00,HOU @ OKC,L,48.0,33,86,0.384,12,46,0.261,9,13,0.692,5,36,41,21,21.0,11,4,5,18,14,87,-17.0
42,HOU,22000318,2021-02-01T00:00:00,HOU @ OKC,W,48.0,49,102,0.48,28,52,0.538,10,11,0.909,10,40,50,30,13.0,8,6,8,20,13,136,30.0
43,HOU,22000300,2021-01-30T00:00:00,HOU @ NOP,W,48.0,45,92,0.489,20,46,0.435,16,20,0.8,7,38,45,32,16.0,8,5,7,24,14,126,14.0
44,HOU,22000287,2021-01-28T00:00:00,HOU vs. POR,W,48.0,38,90,0.422,13,47,0.277,15,18,0.833,10,37,47,19,14.0,8,7,7,12,16,104,3.0
45,HOU,22000269,2021-01-26T00:00:00,HOU vs. WAS,W,48.0,37,88,0.42,12,37,0.324,21,29,0.724,8,36,44,16,14.0,13,4,3,17,22,107,19.0
46,HOU,22000247,2021-01-23T00:00:00,HOU @ DAL,W,48.0,47,86,0.547,16,37,0.432,23,29,0.793,13,39,52,28,14.0,5,5,4,28,23,133,25.0
