,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,IND,22000882,2021-04-21T00:00:00,IND vs. OKC,W,48.0,46,101,0.455,14,40,0.35,16,20,0.8,14,33,47,30,11.0,13,7,3,16,18,122,6.0
2,IND,22000473,2021-04-19T00:00:00,IND vs. SAS,L,48.0,34,104,0.327,8,34,0.235,18,27,0.667,14,40,54,20,7.0,4,7,4,27,23,94,-15.0
3,IND,22000861,2021-04-18T00:00:00,IND @ ATL,L,48.0,45,92,0.489,10,32,0.313,17,20,0.85,8,33,41,33,12.0,7,5,7,27,19,117,-12.0
4,IND,22000844,2021-04-16T00:00:00,IND @ UTA,L,48.0,41,105,0.39,13,39,0.333,16,17,0.941,14,29,43,23,10.0,13,3,6,19,19,111,-8.0
5,IND,22000461,2021-04-14T00:00:00,IND @ HOU,W,48.0,50,94,0.532,15,36,0.417,17,22,0.773,11,37,48,28,18.0,10,6,6,16,17,132,8.0
6,IND,22000823,2021-04-13T00:00:00,IND vs. LAC,L,48.0,44,96,0.458,9,40,0.225,18,22,0.818,9,33,42,14,12.0,9,5,5,17,20,115,-11.0
7,IND,22000811,2021-04-11T00:00:00,IND @ MEM,W,48.0,52,99,0.525,13,37,0.351,15,17,0.882,15,38,53,35,12.0,5,10,6,16,12,132,7.0
8,IND,22000790,2021-04-09T00:00:00,IND @ ORL,W,48.0,38,92,0.413,11,33,0.333,24,28,0.857,11,38,49,26,14.0,8,10,8,24,22,111,5.0
9,IND,22000776,2021-04-07T00:00:00,IND vs. MIN,W,48.0,55,93,0.591,14,28,0.5,17,19,0.895,7,28,35,32,13.0,6,7,2,28,17,141,4.0
10,IND,22000769,2021-04-06T00:00:00,IND vs. CHI,L,48.0,38,88,0.432,9,30,0.3,12,16,0.75,6,27,33,20,15.0,15,12,5,17,12,97,-16.0
