,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,LAC,22000901,2021-04-23T00:00:00,LAC @ HOU,W,48.0,39,97,0.402,12,34,0.353,19,23,0.826,14,44,58,22,14.0,8,3,5,19,19,109,5.0
2,LAC,22000889,2021-04-21T00:00:00,LAC vs. MEM,W,48.0,38,84,0.452,14,27,0.519,27,36,0.75,10,33,43,28,13.0,4,5,8,17,29,117,12.0
3,LAC,22000879,2021-04-20T00:00:00,LAC @ POR,W,48.0,45,90,0.5,11,38,0.289,12,15,0.8,10,35,45,24,10.0,3,3,4,15,16,113,1.0
4,LAC,22000867,2021-04-18T00:00:00,LAC vs. MIN,W,48.0,45,89,0.506,21,42,0.5,13,17,0.765,8,40,48,31,15.0,6,3,7,26,21,124,19.0
5,LAC,22000846,2021-04-16T00:00:00,LAC @ PHI,L,48.0,37,82,0.451,19,39,0.487,10,16,0.625,8,35,43,26,19.0,6,3,7,26,19,103,-3.0
6,LAC,22000832,2021-04-14T00:00:00,LAC @ DET,W,48.0,37,93,0.398,7,29,0.241,19,21,0.905,15,32,47,10,11.0,8,2,4,20,21,100,2.0
7,LAC,22000823,2021-04-13T00:00:00,LAC @ IND,W,48.0,48,89,0.539,13,28,0.464,17,19,0.895,6,42,48,34,14.0,10,5,5,20,17,126,11.0
8,LAC,22000813,2021-04-11T00:00:00,LAC vs. DET,W,48.0,50,80,0.625,15,27,0.556,16,21,0.762,7,30,37,35,17.0,4,5,4,18,24,131,7.0
9,LAC,22000799,2021-04-09T00:00:00,LAC vs. HOU,W,48.0,48,88,0.545,19,37,0.514,11,13,0.846,4,34,38,31,10.0,10,4,6,24,15,126,17.0
10,LAC,22000788,2021-04-08T00:00:00,LAC vs. PHX,W,48.0,42,84,0.5,18,37,0.486,11,12,0.917,9,26,35,26,11.0,5,1,6,22,18,113,10.0
