,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,LAL,22000897,2021-04-22T00:00:00,LAL @ DAL,L,48.0,43,90,0.478,10,30,0.333,14,17,0.824,12,33,45,26,16.0,7,5,5,28,15,110,-5.0
2,LAL,22000875,2021-04-19T00:00:00,LAL vs. UTA,L,48.0,34,79,0.43,12,28,0.429,17,25,0.68,5,27,32,17,10.0,10,1,5,14,20,97,-14.0
3,LAL,22000855,2021-04-17T00:00:00,LAL vs. UTA,W,53.0,48,93,0.516,11,33,0.333,20,23,0.87,11,41,52,26,15.0,8,8,3,14,21,127,12.0
4,LAL,22000842,2021-04-15T00:00:00,LAL vs. BOS,L,48.0,44,98,0.449,12,37,0.324,13,19,0.684,11,25,36,28,8.0,12,2,6,16,20,113,-8.0
5,LAL,22000825,2021-04-13T00:00:00,LAL @ CHA,W,48.0,34,82,0.415,16,44,0.364,17,18,0.944,8,30,38,24,11.0,9,2,3,18,18,101,8.0
6,LAL,22000815,2021-04-12T00:00:00,LAL @ NYK,L,48.0,35,80,0.438,12,36,0.333,14,18,0.778,4,29,33,22,25.0,5,7,9,21,20,96,-15.0
7,LAL,22000800,2021-04-10T00:00:00,LAL @ BKN,W,48.0,47,93,0.505,19,34,0.559,13,20,0.65,12,35,47,30,15.0,12,4,10,24,20,126,25.0
8,LAL,22000784,2021-04-08T00:00:00,LAL @ MIA,L,48.0,35,79,0.443,12,35,0.343,22,25,0.88,10,30,40,26,22.0,9,3,8,24,25,104,-6.0
9,LAL,22000772,2021-04-06T00:00:00,LAL @ TOR,W,48.0,39,79,0.494,18,40,0.45,14,22,0.636,11,38,49,29,22.0,8,7,3,24,19,110,9.0
10,LAL,22000756,2021-04-04T00:00:00,LAL @ LAC,L,48.0,32,80,0.4,7,23,0.304,15,20,0.75,7,29,36,16,19.0,9,7,4,11,25,86,-18.0
11,LAL,22000746,2021-04-02T00:00:00,LAL @ SAC,W,48.0,43,91,0.473,17,33,0.515,12,20,0.6,13,42,55,26,17.0,10,2,5,19,16,115,21.0
12,LAL,22000729,2021-03-31T00:00:00,LAL vs. MIL,L,48.0,35,87,0.402,10,36,0.278,17,22,0.773,11,29,40,22,22.0,9,5,8,22,17,97,-15.0
13,LAL,22000706,2021-03-28T00:00:00,LAL vs. ORL,W,48.0,34,82,0.415,11,40,0.275,17,23,0.739,8,44,52,25,12.0,9,5,4,17,18,96,3.0
14,LAL,22000693,2021-03-26T00:00:00,LAL vs. CLE,W,48.0,38,78,0.487,6,26,0.231,18,25,0.72,9,36,45,23,23.0,15,3,4,23,19,100,14.0
15,LAL,22000681,2021-03-25T00:00:00,LAL vs. PHI,L,48.0,34,78,0.436,9,26,0.346,24,33,0.727,7,35,42,22,22.0,10,0,9,19,26,101,-8.0
16,LAL,22000663,2021-03-23T00:00:00,LAL @ NOP,L,48.0,36,85,0.424,18,37,0.486,21,30,0.7,6,28,34,25,13.0,10,4,3,17,24,111,-17.0
17,LAL,22000651,2021-03-21T00:00:00,LAL @ PHX,L,48.0,35,85,0.412,5,25,0.2,19,28,0.679,7,34,41,20,11.0,3,2,6,18,24,94,-17.0
18,LAL,22000640,2021-03-20T00:00:00,LAL vs. ATL,L,48.0,34,81,0.42,8,26,0.308,18,24,0.75,13,39,52,18,16.0,6,3,7,16,21,94,-5.0
19,LAL,22000630,2021-03-18T00:00:00,LAL vs. CHA,W,48.0,44,92,0.478,13,39,0.333,15,20,0.75,11,37,48,23,11.0,7,6,8,19,19,116,11.0
20,LAL,22000615,2021-03-16T00:00:00,LAL vs. MIN,W,48.0,50,87,0.575,13,26,0.5,24,28,0.857,10,33,43,37,14.0,3,3,6,16,21,137,16.0
21,LAL,22000608,2021-03-15T00:00:00,LAL @ GSW,W,48.0,49,78,0.628,11,27,0.407,19,25,0.76,7,39,46,36,19.0,9,3,2,25,23,128,31.0
22,LAL,22000585,2021-03-12T00:00:00,LAL vs. IND,W,48.0,34,76,0.447,7,22,0.318,30,39,0.769,6,38,44,20,15.0,10,5,4,20,27,105,5.0
23,LAL,22000551,2021-03-03T00:00:00,LAL @ SAC,L,48.0,49,93,0.527,12,27,0.444,10,14,0.714,15,26,41,27,12.0,7,3,1,19,19,120,-3.0
24,LAL,22000542,2021-03-02T00:00:00,LAL vs. PHX,L,48.0,40,79,0.506,11,31,0.355,13,17,0.765,5,29,34,18,12.0,6,8,7,23,16,104,-10.0
25,LAL,22000527,2021-02-28T00:00:00,LAL vs. GSW,W,48.0,40,85,0.471,11,31,0.355,26,38,0.684,14,46,60,22,20.0,14,6,4,21,25,117,26.0
26,LAL,22000512,2021-02-26T00:00:00,LAL vs. POR,W,48.0,37,88,0.42,7,27,0.259,21,28,0.75,15,37,52,25,10.0,9,7,5,23,21,102,9.0
27,LAL,22000497,2021-02-24T00:00:00,LAL @ UTA,L,48.0,34,85,0.4,8,33,0.242,13,20,0.65,12,33,45,17,14.0,5,4,1,15,16,89,-25.0
28,LAL,22000479,2021-02-22T00:00:00,LAL vs. WAS,L,53.0,49,104,0.471,15,44,0.341,11,17,0.647,12,33,45,29,20.0,9,11,4,29,25,124,-3.0
29,LAL,22000463,2021-02-20T00:00:00,LAL vs. MIA,L,48.0,33,84,0.393,13,45,0.289,15,17,0.882,6,37,43,25,15.0,5,6,3,17,20,94,-2.0
30,LAL,22000446,2021-02-18T00:00:00,LAL vs. BKN,L,48.0,40,83,0.482,8,30,0.267,10,14,0.714,10,29,39,21,16.0,7,4,3,16,18,98,-11.0
31,LAL,22000431,2021-02-16T00:00:00,LAL @ MIN,W,48.0,42,77,0.545,11,26,0.423,17,21,0.81,6,32,38,20,18.0,8,8,4,14,27,112,8.0
32,LAL,22000416,2021-02-14T00:00:00,LAL @ DEN,L,48.0,40,87,0.46,6,28,0.214,19,29,0.655,8,38,46,27,10.0,4,4,4,26,24,105,-17.0
33,LAL,22000403,2021-02-12T00:00:00,LAL vs. MEM,W,48.0,43,85,0.506,6,30,0.2,23,33,0.697,13,34,47,26,18.0,9,4,2,16,25,115,10.0
34,LAL,22000390,2021-02-10T00:00:00,LAL vs. OKC,W,53.0,42,89,0.472,10,35,0.286,20,24,0.833,6,37,43,22,17.0,6,6,4,15,23,114,1.0
35,LAL,22000374,2021-02-08T00:00:00,LAL vs. OKC,W,53.0,44,95,0.463,9,38,0.237,22,29,0.759,10,49,59,28,15.0,7,12,4,19,23,119,7.0
36,LAL,22000361,2021-02-06T00:00:00,LAL vs. DET,W,58.0,51,91,0.56,9,19,0.474,24,28,0.857,9,32,41,32,24.0,12,5,4,24,31,135,6.0
37,LAL,22000341,2021-02-04T00:00:00,LAL vs. DEN,W,48.0,46,81,0.568,8,24,0.333,14,22,0.636,8,32,40,29,16.0,10,7,2,19,23,114,21.0
38,LAL,22000313,2021-02-01T00:00:00,LAL @ ATL,W,48.0,40,77,0.519,7,23,0.304,20,24,0.833,4,27,31,24,13.0,10,7,3,20,21,107,8.0
39,LAL,22000302,2021-01-30T00:00:00,LAL @ BOS,W,48.0,37,84,0.44,9,31,0.29,13,19,0.684,13,32,45,20,14.0,8,4,6,15,16,96,1.0
40,LAL,22000284,2021-01-28T00:00:00,LAL @ DET,L,48.0,36,88,0.409,12,28,0.429,8,12,0.667,12,32,44,25,11.0,2,3,2,16,18,92,-15.0
41,LAL,22000276,2021-01-27T00:00:00,LAL @ PHI,L,48.0,41,86,0.477,8,24,0.333,16,25,0.64,6,31,37,20,12.0,5,2,7,20,24,106,-1.0
42,LAL,22000261,2021-01-25T00:00:00,LAL @ CLE,W,48.0,42,87,0.483,10,32,0.313,21,28,0.75,15,25,40,21,14.0,7,7,3,23,25,115,7.0
43,LAL,22000245,2021-01-23T00:00:00,LAL @ CHI,W,48.0,36,79,0.456,4,19,0.211,25,31,0.806,5,37,42,20,19.0,7,4,1,18,28,101,11.0
44,LAL,22000226,2021-01-21T00:00:00,LAL @ MIL,W,48.0,41,88,0.466,19,37,0.514,12,15,0.8,6,32,38,25,10.0,8,8,5,14,18,113,7.0
45,LAL,22000212,2021-01-18T00:00:00,LAL vs. GSW,L,48.0,40,83,0.482,9,29,0.31,24,33,0.727,12,38,50,23,19.0,6,5,3,22,27,113,-2.0
46,LAL,22000187,2021-01-15T00:00:00,LAL vs. NOP,W,48.0,39,93,0.419,15,37,0.405,19,26,0.731,13,31,44,31,8.0,11,6,5,16,21,112,17.0
47,LAL,22000170,2021-01-13T00:00:00,LAL @ OKC,W,48.0,47,95,0.495,17,37,0.459,17,22,0.773,12,38,50,26,10.0,6,6,6,16,21,128,29.0
48,LAL,22000161,2021-01-12T00:00:00,LAL @ HOU,W,48.0,42,84,0.5,14,32,0.438,19,27,0.704,11,44,55,26,21.0,10,12,5,18,19,117,17.0
49,LAL,22000146,2021-01-10T00:00:00,LAL @ HOU,W,48.0,46,91,0.505,10,29,0.345,18,24,0.75,10,39,49,28,17.0,13,8,8,23,22,120,18.0
50,LAL,22000131,2021-01-08T00:00:00,LAL vs. CHI,W,48.0,41,81,0.506,12,29,0.414,23,27,0.852,10,32,42,21,15.0,3,8,3,15,23,117,2.0
51,LAL,22000121,2021-01-07T00:00:00,LAL vs. SAS,L,48.0,43,86,0.5,10,30,0.333,13,21,0.619,9,39,48,21,13.0,2,4,3,20,15,109,-9.0
52,LAL,22000103,2021-01-05T00:00:00,LAL @ MEM,W,48.0,38,87,0.437,9,31,0.29,9,11,0.818,9,43,52,24,17.0,7,8,4,14,14,94,2.0
