,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,MEM,22000225,2021-04-23T00:00:00,MEM @ POR,W,48.0,52,98,0.531,9,30,0.3,17,22,0.773,8,31,39,33,9.0,7,5,3,21,20,130,2.0
2,MEM,22000889,2021-04-21T00:00:00,MEM @ LAC,L,48.0,38,84,0.452,13,30,0.433,16,23,0.696,11,31,42,19,13.0,6,8,5,29,17,105,-12.0
3,MEM,22000874,2021-04-19T00:00:00,MEM @ DEN,L,58.0,51,107,0.477,17,40,0.425,18,24,0.75,10,37,47,33,15.0,15,3,6,24,19,137,-2.0
4,MEM,22000859,2021-04-17T00:00:00,MEM @ MIL,W,48.0,51,93,0.548,15,40,0.375,11,12,0.917,7,36,43,31,11.0,10,3,1,18,8,128,13.0
5,MEM,22000850,2021-04-16T00:00:00,MEM @ CHI,W,48.0,45,86,0.523,17,40,0.425,19,24,0.792,6,36,42,33,6.0,9,4,1,17,20,126,11.0
6,MEM,22000837,2021-04-14T00:00:00,MEM vs. DAL,L,48.0,42,90,0.467,13,34,0.382,16,21,0.762,11,34,45,27,7.0,7,3,3,18,17,113,-1.0
7,MEM,22000278,2021-04-12T00:00:00,MEM vs. CHI,W,48.0,40,85,0.471,9,28,0.321,12,14,0.857,10,41,51,27,20.0,7,7,3,20,16,101,11.0
8,MEM,22000811,2021-04-11T00:00:00,MEM vs. IND,L,48.0,53,115,0.461,6,20,0.3,13,19,0.684,24,26,50,27,6.0,11,6,10,12,16,125,-7.0
9,MEM,22000793,2021-04-09T00:00:00,MEM @ NYK,L,53.0,47,94,0.5,14,30,0.467,21,34,0.618,10,33,43,33,14.0,7,6,7,27,25,129,-4.0
10,MEM,22000780,2021-04-07T00:00:00,MEM @ ATL,W,48.0,48,89,0.539,17,40,0.425,18,21,0.857,11,43,54,30,14.0,5,5,3,17,19,131,18.0
