,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,MIA,22000898,2021-04-23T00:00:00,MIA @ ATL,L,48.0,38,79,0.481,13,37,0.351,14,16,0.875,6,24,30,24,13.0,10,5,2,18,17,103,-15.0
2,MIA,22000888,2021-04-21T00:00:00,MIA @ SAS,W,48.0,39,83,0.47,13,31,0.419,16,20,0.8,9,35,44,28,8.0,8,1,7,20,15,107,20.0
3,MIA,22000871,2021-04-19T00:00:00,MIA vs. HOU,W,48.0,45,93,0.484,19,48,0.396,4,7,0.571,11,41,52,31,15.0,7,5,3,19,7,113,22.0
4,MIA,22000863,2021-04-18T00:00:00,MIA vs. BKN,W,48.0,38,87,0.437,16,39,0.41,17,21,0.81,16,37,53,28,17.0,9,1,6,13,17,109,2.0
5,MIA,22000852,2021-04-16T00:00:00,MIA @ MIN,L,48.0,39,80,0.488,14,34,0.412,19,26,0.731,7,26,33,33,14.0,11,5,2,28,22,111,-8.0
6,MIA,22000838,2021-04-14T00:00:00,MIA @ DEN,L,48.0,39,79,0.494,13,32,0.406,15,18,0.833,4,26,30,29,8.0,7,8,7,13,19,106,-17.0
7,MIA,22000827,2021-04-13T00:00:00,MIA @ PHX,L,48.0,31,82,0.378,9,44,0.205,15,19,0.789,8,28,36,24,18.0,13,2,2,20,18,86,-20.0
8,MIA,22000814,2021-04-11T00:00:00,MIA @ POR,W,48.0,41,83,0.494,12,29,0.414,13,20,0.65,6,24,30,21,8.0,12,4,5,18,16,107,9.0
9,MIA,22000784,2021-04-08T00:00:00,MIA vs. LAL,W,48.0,34,71,0.479,10,25,0.4,32,40,0.8,9,29,38,22,21.0,12,8,3,25,24,110,6.0
10,MIA,22000773,2021-04-06T00:00:00,MIA vs. MEM,L,48.0,44,82,0.537,13,33,0.394,11,18,0.611,7,28,35,34,14.0,9,4,2,16,13,112,-12.0
11,MIA,22000749,2021-04-03T00:00:00,MIA vs. CLE,W,48.0,44,82,0.537,15,38,0.395,12,16,0.75,4,33,37,35,11.0,6,3,4,20,15,115,14.0
12,MIA,22000733,2021-04-01T00:00:00,MIA vs. GSW,W,48.0,39,82,0.476,13,39,0.333,25,30,0.833,5,32,37,30,12.0,10,6,3,22,26,116,7.0
13,MIA,22000722,2021-03-31T00:00:00,MIA @ IND,W,48.0,32,78,0.41,10,32,0.313,18,28,0.643,8,34,42,22,12.0,5,4,4,14,23,92,5.0
14,MIA,22000710,2021-03-29T00:00:00,MIA @ NYK,W,48.0,37,86,0.43,10,34,0.294,14,17,0.824,12,35,47,22,12.0,7,5,6,18,19,98,10.0
15,MIA,22000686,2021-03-26T00:00:00,MIA @ CHA,L,48.0,40,87,0.46,15,43,0.349,10,20,0.5,9,30,39,28,10.0,9,3,7,17,16,105,-5.0
