,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,MIL,22000894,2021-04-22T00:00:00,MIL vs. PHI,W,48.0,45,81,0.556,20,40,0.5,14,23,0.609,6,39,45,32,16.0,6,8,3,16,17,124,7.0
2,MIL,22000873,2021-04-19T00:00:00,MIL vs. PHX,L,53.0,49,102,0.48,11,34,0.324,18,19,0.947,9,42,51,19,12.0,7,3,4,15,16,127,-1.0
3,MIL,22000859,2021-04-17T00:00:00,MIL vs. MEM,L,48.0,39,91,0.429,16,47,0.34,21,27,0.778,13,32,45,27,16.0,7,1,3,8,18,115,-13.0
4,MIL,22000840,2021-04-15T00:00:00,MIL @ ATL,W,48.0,46,95,0.484,16,43,0.372,12,17,0.706,14,37,51,25,9.0,8,1,4,16,15,120,11.0
5,MIL,22000834,2021-04-14T00:00:00,MIL @ MIN,W,48.0,46,98,0.469,19,40,0.475,19,23,0.826,7,45,52,26,16.0,14,4,7,20,17,130,25.0
6,MIL,22000808,2021-04-11T00:00:00,MIL @ ORL,W,48.0,46,94,0.489,19,40,0.475,13,15,0.867,12,44,56,28,12.0,8,7,6,15,13,124,37.0
7,MIL,22000796,2021-04-09T00:00:00,MIL vs. CHA,L,48.0,44,98,0.449,14,38,0.368,17,23,0.739,13,35,48,23,17.0,10,3,10,14,19,119,-8.0
8,MIL,22000786,2021-04-08T00:00:00,MIL @ DAL,L,48.0,38,100,0.38,12,33,0.364,13,16,0.813,14,38,52,16,9.0,8,1,8,20,15,101,-15.0
9,MIL,22000774,2021-04-06T00:00:00,MIL @ GSW,L,48.0,44,86,0.512,14,32,0.438,19,22,0.864,6,34,40,25,14.0,7,2,5,13,18,121,-1.0
10,MIL,22000754,2021-04-03T00:00:00,MIL @ SAC,W,48.0,50,93,0.538,11,31,0.355,18,20,0.9,12,35,47,31,13.0,10,3,4,15,17,129,1.0
11,MIL,22000745,2021-04-02T00:00:00,MIL @ POR,W,48.0,49,90,0.544,12,39,0.308,17,19,0.895,4,46,50,25,15.0,7,5,3,18,18,127,18.0
12,MIL,22000729,2021-03-31T00:00:00,MIL @ LAL,W,48.0,42,79,0.532,14,26,0.538,14,18,0.778,7,35,42,23,22.0,13,8,5,17,22,112,15.0
13,MIL,22000717,2021-03-29T00:00:00,MIL @ LAC,L,48.0,38,81,0.469,11,30,0.367,18,21,0.857,5,27,32,18,12.0,8,4,2,14,15,105,-24.0
14,MIL,22000695,2021-03-27T00:00:00,MIL vs. NYK,L,48.0,36,87,0.414,14,36,0.389,10,16,0.625,15,33,48,21,16.0,11,7,11,11,19,96,-6.0
15,MIL,22000685,2021-03-26T00:00:00,MIL vs. BOS,L,48.0,44,99,0.444,19,47,0.404,7,11,0.636,16,33,49,24,16.0,7,3,8,16,16,114,-8.0
16,MIL,22000669,2021-03-24T00:00:00,MIL vs. BOS,W,48.0,45,90,0.5,17,37,0.459,14,20,0.7,13,33,46,19,16.0,8,5,6,14,15,121,2.0
17,MIL,22000659,2021-03-22T00:00:00,MIL vs. IND,W,48.0,53,94,0.564,24,39,0.615,10,15,0.667,8,47,55,35,16.0,3,5,3,16,16,140,27.0
18,MIL,22000643,2021-03-20T00:00:00,MIL vs. SAS,W,48.0,45,92,0.489,14,38,0.368,16,18,0.889,6,43,49,24,11.0,5,3,4,11,11,120,7.0
19,MIL,22000618,2021-03-17T00:00:00,MIL @ PHI,W,53.0,41,101,0.406,9,39,0.231,18,24,0.75,12,46,58,22,22.0,11,1,7,11,23,109,4.0
20,MIL,22000603,2021-03-15T00:00:00,MIL @ WAS,W,48.0,52,94,0.553,11,28,0.393,18,19,0.947,9,37,46,29,16.0,6,5,1,20,18,133,11.0
21,MIL,22000589,2021-03-13T00:00:00,MIL @ WAS,W,48.0,43,99,0.434,17,45,0.378,22,25,0.88,13,44,57,33,18.0,9,3,2,19,20,125,6.0
22,MIL,22000573,2021-03-11T00:00:00,MIL vs. NYK,W,48.0,50,87,0.575,18,38,0.474,16,17,0.941,5,38,43,29,12.0,9,9,5,18,19,134,33.0
23,MIL,22000555,2021-03-04T00:00:00,MIL @ MEM,W,48.0,42,95,0.442,10,34,0.294,18,22,0.818,13,39,52,21,16.0,11,5,8,19,20,112,1.0
24,MIL,22000540,2021-03-02T00:00:00,MIL vs. DEN,L,48.0,32,79,0.405,11,40,0.275,22,31,0.71,11,29,40,22,13.0,4,4,3,18,19,97,-31.0
25,MIL,22000520,2021-02-28T00:00:00,MIL vs. LAC,W,48.0,38,85,0.447,12,38,0.316,17,22,0.773,8,40,48,21,12.0,7,5,3,11,19,105,5.0
26,MIL,22000503,2021-02-25T00:00:00,MIL vs. NOP,W,48.0,52,96,0.542,13,31,0.419,12,16,0.75,8,34,42,21,9.0,4,8,4,13,17,129,4.0
27,MIL,22000486,2021-02-23T00:00:00,MIL vs. MIN,W,48.0,53,99,0.535,20,42,0.476,13,18,0.722,9,43,52,33,8.0,11,5,5,13,16,139,27.0
28,MIL,22000471,2021-02-21T00:00:00,MIL vs. SAC,W,48.0,44,90,0.489,11,28,0.393,29,36,0.806,14,42,56,22,18.0,8,5,3,19,26,128,13.0
29,MIL,22000453,2021-02-19T00:00:00,MIL vs. OKC,W,48.0,35,86,0.407,11,34,0.324,17,25,0.68,11,50,61,23,13.0,5,6,5,18,23,98,13.0
30,MIL,22000445,2021-02-18T00:00:00,MIL vs. TOR,L,48.0,35,88,0.398,10,34,0.294,16,23,0.696,15,37,52,23,15.0,6,2,6,23,21,96,-14.0
31,MIL,22000430,2021-02-16T00:00:00,MIL vs. TOR,L,48.0,40,83,0.482,14,37,0.378,19,25,0.76,5,36,41,25,17.0,10,5,6,17,18,113,-11.0
32,MIL,22000415,2021-02-14T00:00:00,MIL @ OKC,L,48.0,45,97,0.464,13,38,0.342,6,9,0.667,12,35,47,24,15.0,9,5,1,16,14,109,-5.0
33,MIL,22000402,2021-02-12T00:00:00,MIL @ UTA,L,48.0,42,92,0.457,12,33,0.364,19,27,0.704,6,27,33,19,10.0,8,6,5,28,22,115,-14.0
34,MIL,22000389,2021-02-10T00:00:00,MIL @ PHX,L,48.0,43,85,0.506,16,37,0.432,22,30,0.733,10,29,39,23,10.0,6,0,2,21,19,124,-1.0
35,MIL,22000373,2021-02-08T00:00:00,MIL @ DEN,W,48.0,45,89,0.506,16,40,0.4,19,22,0.864,11,39,50,24,11.0,7,7,4,19,15,125,13.0
36,MIL,22000357,2021-02-06T00:00:00,MIL @ CLE,W,48.0,47,86,0.547,16,34,0.471,14,23,0.609,6,37,43,25,9.0,10,2,1,20,19,124,25.0
37,MIL,22000346,2021-02-05T00:00:00,MIL @ CLE,W,48.0,50,97,0.515,7,22,0.318,16,22,0.727,13,41,54,28,13.0,6,7,9,18,19,123,18.0
38,MIL,22000329,2021-02-03T00:00:00,MIL vs. IND,W,48.0,48,102,0.471,21,48,0.438,13,14,0.929,11,42,53,33,13.0,13,7,6,11,13,130,20.0
39,MIL,22000316,2021-02-01T00:00:00,MIL vs. POR,W,48.0,53,96,0.552,21,42,0.5,7,12,0.583,9,44,53,38,13.0,10,7,6,13,10,134,28.0
40,MIL,22000299,2021-01-30T00:00:00,MIL @ CHA,L,48.0,40,82,0.488,18,45,0.4,16,24,0.667,8,38,46,22,16.0,6,6,5,17,20,114,-12.0
41,MIL,22000293,2021-01-29T00:00:00,MIL @ NOP,L,48.0,48,96,0.5,13,35,0.371,17,22,0.773,12,37,49,29,12.0,5,5,3,19,16,126,-5.0
42,MIL,22000277,2021-01-27T00:00:00,MIL @ TOR,W,48.0,40,93,0.43,16,44,0.364,19,26,0.731,14,45,59,30,15.0,9,3,8,14,20,115,7.0
43,MIL,22000254,2021-01-24T00:00:00,MIL vs. ATL,W,48.0,50,91,0.549,10,31,0.323,19,27,0.704,16,36,52,32,17.0,4,2,4,16,23,129,14.0
44,MIL,22000226,2021-01-21T00:00:00,MIL vs. LAL,L,48.0,44,87,0.506,9,28,0.321,9,12,0.75,5,41,46,27,15.0,5,5,8,18,14,106,-7.0
