,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,MIN,22000891,2021-04-21T00:00:00,MIN @ SAC,L,48.0,46,87,0.529,15,34,0.441,18,22,0.818,9,25,34,30,12.0,7,4,5,21,20,125,-3.0
2,MIN,22000880,2021-04-20T00:00:00,MIN @ SAC,W,48.0,51,90,0.567,18,43,0.419,14,19,0.737,12,38,50,34,18.0,5,9,3,16,17,134,14.0
3,MIN,22000867,2021-04-18T00:00:00,MIN @ LAC,L,48.0,36,88,0.409,17,45,0.378,16,21,0.762,6,31,37,27,11.0,6,7,3,21,26,105,-19.0
4,MIN,22000852,2021-04-16T00:00:00,MIN vs. MIA,W,48.0,42,81,0.519,15,36,0.417,20,29,0.69,10,35,45,30,21.0,8,2,5,22,28,119,8.0
5,MIN,22000834,2021-04-14T00:00:00,MIN vs. MIL,L,48.0,34,92,0.37,15,41,0.366,22,31,0.71,10,37,47,22,16.0,13,7,4,17,20,105,-25.0
6,MIN,22000817,2021-04-13T00:00:00,MIN vs. BKN,L,48.0,30,87,0.345,13,49,0.265,24,33,0.727,11,33,44,16,14.0,13,12,4,20,22,97,-30.0
7,MIN,22000812,2021-04-11T00:00:00,MIN vs. CHI,W,48.0,40,81,0.494,16,36,0.444,25,25,1.0,3,33,36,27,15.0,7,6,8,14,19,121,4.0
8,MIN,22000792,2021-04-09T00:00:00,MIN @ BOS,L,53.0,47,96,0.49,15,42,0.357,27,30,0.9,9,28,37,30,15.0,14,0,5,26,25,136,-9.0
9,MIN,22000776,2021-04-07T00:00:00,MIN @ IND,L,48.0,48,91,0.527,10,28,0.357,31,40,0.775,13,29,42,30,13.0,7,2,7,17,28,137,-4.0
10,MIN,22000765,2021-04-05T00:00:00,MIN vs. SAC,W,48.0,38,91,0.418,12,32,0.375,28,33,0.848,15,36,51,22,14.0,10,4,8,16,19,116,10.0
11,MIN,22000750,2021-04-03T00:00:00,MIN @ PHI,L,48.0,35,78,0.449,12,36,0.333,31,36,0.861,6,30,36,17,11.0,7,5,7,24,24,113,-9.0
12,MIN,22000741,2021-04-02T00:00:00,MIN @ MEM,L,48.0,38,85,0.447,12,33,0.364,20,23,0.87,5,34,39,21,11.0,6,6,4,20,20,108,-12.0
13,MIN,22000726,2021-03-31T00:00:00,MIN vs. NYK,W,48.0,36,87,0.414,14,40,0.35,16,19,0.842,9,31,40,25,13.0,9,8,6,14,18,102,1.0
14,MIN,22000709,2021-03-29T00:00:00,MIN @ BKN,L,48.0,40,103,0.388,14,44,0.318,13,17,0.765,17,34,51,23,15.0,10,10,7,25,18,107,-5.0
15,MIN,22000696,2021-03-27T00:00:00,MIN vs. HOU,L,48.0,36,85,0.424,13,40,0.325,22,28,0.786,10,30,40,26,13.0,8,6,7,15,24,107,-22.0
16,MIN,22000688,2021-03-26T00:00:00,MIN vs. HOU,W,48.0,39,103,0.379,10,38,0.263,19,24,0.792,14,36,50,30,9.0,12,3,9,13,20,107,6.0
17,MIN,22000673,2021-03-24T00:00:00,MIN vs. DAL,L,48.0,38,86,0.442,12,38,0.316,20,26,0.769,6,31,37,24,12.0,6,2,6,25,22,108,-20.0
18,MIN,22000654,2021-03-22T00:00:00,MIN vs. OKC,L,48.0,38,92,0.413,14,39,0.359,13,18,0.722,11,31,42,24,12.0,11,4,10,17,14,103,-9.0
19,MIN,22000638,2021-03-19T00:00:00,MIN @ PHX,L,48.0,37,79,0.468,13,35,0.371,14,18,0.778,5,34,39,22,20.0,8,6,1,19,19,101,-12.0
20,MIN,22000628,2021-03-18T00:00:00,MIN @ PHX,W,48.0,44,93,0.473,11,34,0.324,24,35,0.686,11,27,38,22,12.0,14,4,6,16,30,123,4.0
21,MIN,22000615,2021-03-16T00:00:00,MIN @ LAL,L,48.0,47,90,0.522,11,35,0.314,16,22,0.727,8,26,34,28,12.0,9,6,3,21,16,121,-16.0
22,MIN,22000599,2021-03-14T00:00:00,MIN vs. POR,W,48.0,36,73,0.493,13,38,0.342,29,39,0.744,5,40,45,24,12.0,6,4,3,22,29,114,2.0
23,MIN,22000591,2021-03-13T00:00:00,MIN vs. POR,L,48.0,44,86,0.512,10,26,0.385,23,31,0.742,19,37,56,23,18.0,5,7,5,24,18,121,-4.0
24,MIN,22000574,2021-03-11T00:00:00,MIN @ NOP,W,48.0,51,95,0.537,19,40,0.475,14,16,0.875,7,31,38,28,12.0,11,10,6,20,18,135,30.0
25,MIN,22000547,2021-03-03T00:00:00,MIN vs. CHA,L,48.0,39,96,0.406,9,40,0.225,15,18,0.833,12,33,45,25,21.0,11,2,7,18,18,102,-33.0
26,MIN,22000526,2021-02-28T00:00:00,MIN vs. PHX,L,48.0,35,93,0.376,8,35,0.229,21,24,0.875,10,34,44,21,16.0,12,4,5,22,18,99,-19.0
