,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,NOP,22000893,2021-04-22T00:00:00,NOP @ ORL,W,48.0,50,90,0.556,12,28,0.429,23,26,0.885,12,46,58,34,15.0,2,3,6,16,18,135,35.0
2,NOP,22000878,2021-04-20T00:00:00,NOP vs. BKN,L,48.0,51,91,0.56,12,33,0.364,15,24,0.625,7,30,37,28,13.0,5,2,2,21,21,129,-5.0
3,NOP,22000862,2021-04-18T00:00:00,NOP @ NYK,L,53.0,41,101,0.406,6,27,0.222,24,30,0.8,20,32,52,25,13.0,6,4,6,16,26,112,-10.0
4,NOP,22000847,2021-04-16T00:00:00,NOP @ WAS,L,53.0,40,97,0.412,7,28,0.25,28,33,0.848,11,45,56,26,16.0,11,7,7,22,24,115,-2.0
5,NOP,22000835,2021-04-14T00:00:00,NOP vs. NYK,L,48.0,40,88,0.455,6,28,0.214,20,24,0.833,9,40,49,25,9.0,3,5,5,12,17,106,-10.0
6,NOP,22000819,2021-04-12T00:00:00,NOP vs. SAC,W,48.0,42,77,0.545,6,19,0.316,27,39,0.692,9,42,51,24,23.0,8,5,3,23,26,117,7.0
7,NOP,22000807,2021-04-11T00:00:00,NOP @ CLE,W,48.0,44,86,0.512,7,24,0.292,21,26,0.808,14,36,50,30,16.0,9,3,5,16,23,116,7.0
8,NOP,22000795,2021-04-09T00:00:00,NOP vs. PHI,W,48.0,39,90,0.433,4,22,0.182,19,30,0.633,10,46,56,22,14.0,11,7,5,17,23,101,7.0
9,NOP,22000779,2021-04-07T00:00:00,NOP @ BKN,L,48.0,38,89,0.427,6,27,0.222,29,39,0.744,17,23,40,23,15.0,9,2,8,14,31,111,-28.0
10,NOP,22000770,2021-04-06T00:00:00,NOP @ ATL,L,48.0,37,91,0.407,12,38,0.316,21,28,0.75,16,33,49,24,14.0,7,7,6,15,23,107,-16.0
11,NOP,22000760,2021-04-04T00:00:00,NOP @ HOU,W,48.0,42,91,0.462,16,37,0.432,22,35,0.629,16,39,55,26,15.0,12,9,3,27,24,122,7.0
12,NOP,22000742,2021-04-02T00:00:00,NOP vs. ATL,L,48.0,38,88,0.432,8,29,0.276,19,23,0.826,5,29,34,22,15.0,7,6,9,18,23,103,-23.0
13,NOP,22000734,2021-04-01T00:00:00,NOP vs. ORL,L,53.0,41,93,0.441,12,29,0.414,16,19,0.842,12,43,55,26,25.0,7,7,5,23,20,110,-5.0
14,NOP,22000708,2021-03-29T00:00:00,NOP @ BOS,W,48.0,41,82,0.5,16,31,0.516,17,30,0.567,8,39,47,30,15.0,8,2,9,21,25,115,6.0
15,NOP,22000698,2021-03-27T00:00:00,NOP vs. DAL,W,48.0,42,81,0.519,9,26,0.346,19,29,0.655,8,34,42,20,7.0,2,5,4,18,20,112,9.0
16,NOP,22000689,2021-03-26T00:00:00,NOP vs. DEN,L,48.0,39,78,0.5,12,29,0.414,18,20,0.9,6,31,37,30,15.0,7,7,7,11,16,108,-5.0
17,NOP,22000663,2021-03-23T00:00:00,NOP vs. LAL,W,48.0,47,90,0.522,10,29,0.345,24,26,0.923,11,42,53,28,14.0,9,3,4,24,17,128,17.0
18,NOP,22000646,2021-03-21T00:00:00,NOP @ DEN,W,48.0,41,85,0.482,8,28,0.286,23,30,0.767,14,31,45,26,16.0,8,7,5,12,28,113,5.0
19,NOP,22000629,2021-03-18T00:00:00,NOP @ POR,L,48.0,33,83,0.398,10,37,0.27,17,25,0.68,10,34,44,24,13.0,6,5,8,19,19,93,-8.0
20,NOP,22000614,2021-03-16T00:00:00,NOP @ POR,L,48.0,46,88,0.523,16,33,0.485,16,20,0.8,10,31,41,38,16.0,8,3,8,24,19,124,-1.0
21,NOP,22000601,2021-03-14T00:00:00,NOP vs. LAC,W,48.0,53,81,0.654,12,26,0.462,17,21,0.81,4,36,40,38,19.0,8,1,2,16,17,135,20.0
22,NOP,22000581,2021-03-12T00:00:00,NOP vs. CLE,W,48.0,47,101,0.465,6,24,0.25,16,19,0.842,19,51,70,25,14.0,2,7,9,18,18,116,34.0
23,NOP,22000574,2021-03-11T00:00:00,NOP vs. MIN,L,48.0,43,100,0.43,6,32,0.188,13,24,0.542,19,32,51,28,18.0,7,6,10,18,20,105,-30.0
24,NOP,22000557,2021-03-04T00:00:00,NOP vs. MIA,L,48.0,33,84,0.393,11,43,0.256,16,20,0.8,15,29,44,28,14.0,5,3,3,21,20,93,-10.0
25,NOP,22000548,2021-03-03T00:00:00,NOP vs. CHI,L,48.0,46,83,0.554,6,22,0.273,26,38,0.684,7,28,35,29,11.0,10,6,8,19,21,124,-4.0
26,NOP,22000533,2021-03-01T00:00:00,NOP vs. UTA,W,48.0,52,92,0.565,7,11,0.636,18,23,0.783,10,43,53,27,13.0,5,5,7,15,22,129,5.0
27,NOP,22000514,2021-02-27T00:00:00,NOP @ SAS,L,48.0,40,91,0.44,9,32,0.281,25,31,0.806,17,35,52,27,10.0,3,2,5,17,26,114,-3.0
28,NOP,22000503,2021-02-25T00:00:00,NOP @ MIL,L,48.0,51,102,0.5,13,39,0.333,10,14,0.714,12,35,47,32,9.0,5,4,8,17,13,125,-4.0
29,NOP,22000494,2021-02-24T00:00:00,NOP vs. DET,W,48.0,50,90,0.556,10,23,0.435,18,29,0.621,12,33,45,31,13.0,10,6,6,10,23,128,10.0
30,NOP,22000465,2021-02-21T00:00:00,NOP vs. BOS,W,53.0,42,94,0.447,11,36,0.306,25,37,0.676,12,40,52,22,13.0,5,7,11,24,30,120,5.0
31,NOP,22000455,2021-02-19T00:00:00,NOP vs. PHX,L,48.0,42,82,0.512,11,32,0.344,19,24,0.792,6,31,37,28,14.0,11,3,4,16,17,114,-18.0
32,NOP,22000441,2021-02-17T00:00:00,NOP vs. POR,L,48.0,43,89,0.483,15,32,0.469,23,29,0.793,18,33,51,25,12.0,5,1,7,15,19,124,-2.0
33,NOP,22000429,2021-02-16T00:00:00,NOP @ MEM,W,48.0,56,91,0.615,19,38,0.5,13,17,0.765,11,36,47,33,19.0,14,4,0,19,18,144,31.0
34,NOP,22000561,2021-02-14T00:00:00,NOP @ DET,L,48.0,40,90,0.444,9,35,0.257,23,28,0.821,18,26,44,23,11.0,5,2,8,17,23,112,-11.0
35,NOP,22000399,2021-02-12T00:00:00,NOP @ DAL,L,48.0,48,90,0.533,17,37,0.459,17,23,0.739,9,29,38,31,10.0,5,3,2,19,22,130,-13.0
36,NOP,22000385,2021-02-10T00:00:00,NOP @ CHI,L,48.0,41,81,0.506,13,36,0.361,21,26,0.808,9,26,35,27,12.0,11,1,6,12,20,116,-13.0
37,NOP,22000377,2021-02-09T00:00:00,NOP vs. HOU,W,48.0,47,92,0.511,12,31,0.387,24,28,0.857,15,40,55,31,12.0,7,6,4,20,23,130,29.0
38,NOP,22000355,2021-02-06T00:00:00,NOP vs. MEM,W,48.0,45,87,0.517,15,33,0.455,13,21,0.619,8,34,42,27,10.0,3,9,5,15,17,118,9.0
