,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,NYK,22000886,2021-04-21T00:00:00,NYK vs. ATL,W,53.0,49,91,0.538,19,35,0.543,20,25,0.8,8,41,49,29,17.0,8,3,3,19,18,137,10.0
2,NYK,22000877,2021-04-20T00:00:00,NYK vs. CHA,W,48.0,40,83,0.482,18,45,0.4,11,12,0.917,11,28,39,22,12.0,5,6,3,13,10,109,12.0
3,NYK,22000862,2021-04-18T00:00:00,NYK vs. NOP,W,53.0,45,95,0.474,11,29,0.379,21,24,0.875,13,36,49,27,13.0,9,6,4,26,16,122,10.0
4,NYK,22000854,2021-04-16T00:00:00,NYK @ DAL,W,48.0,44,86,0.512,14,28,0.5,15,21,0.714,9,36,45,22,10.0,4,5,7,20,17,117,8.0
5,NYK,22000835,2021-04-14T00:00:00,NYK @ NOP,W,48.0,44,97,0.454,17,33,0.515,11,13,0.846,11,37,48,19,6.0,6,5,5,17,12,116,10.0
6,NYK,22000815,2021-04-12T00:00:00,NYK vs. LAL,W,48.0,42,89,0.472,5,27,0.185,22,27,0.815,15,32,47,18,15.0,14,9,7,20,21,111,15.0
7,NYK,22000809,2021-04-11T00:00:00,NYK vs. TOR,W,48.0,35,88,0.398,9,35,0.257,23,27,0.852,11,35,46,19,13.0,9,4,7,19,23,102,6.0
8,NYK,22000793,2021-04-09T00:00:00,NYK vs. MEM,W,53.0,45,96,0.469,14,32,0.438,29,33,0.879,11,37,48,24,14.0,7,7,6,25,27,133,4.0
9,NYK,22000778,2021-04-07T00:00:00,NYK @ BOS,L,48.0,35,84,0.417,16,33,0.485,13,16,0.813,5,34,39,22,14.0,7,4,7,21,14,99,-2.0
10,NYK,22000762,2021-04-05T00:00:00,NYK @ BKN,L,48.0,40,86,0.465,14,29,0.483,18,22,0.818,5,36,41,24,12.0,7,4,6,25,14,112,-2.0
11,NYK,22000748,2021-04-03T00:00:00,NYK @ DET,W,48.0,43,79,0.544,19,39,0.487,20,27,0.741,7,37,44,31,7.0,12,11,4,18,20,125,44.0
12,NYK,22000739,2021-04-02T00:00:00,NYK vs. DAL,L,48.0,32,89,0.36,12,38,0.316,10,10,1.0,9,34,43,18,12.0,7,3,2,17,12,86,-13.0
13,NYK,22000726,2021-03-31T00:00:00,NYK @ MIN,L,48.0,39,82,0.476,11,23,0.478,12,17,0.706,7,34,41,20,17.0,7,6,8,18,14,101,-1.0
14,NYK,22000710,2021-03-29T00:00:00,NYK vs. MIA,L,48.0,33,80,0.413,10,36,0.278,12,20,0.6,6,35,41,15,14.0,4,6,5,19,18,88,-10.0
15,NYK,22000695,2021-03-27T00:00:00,NYK @ MIL,W,48.0,40,93,0.43,16,44,0.364,6,8,0.75,12,32,44,28,16.0,9,11,7,19,11,102,6.0
16,NYK,22000679,2021-03-25T00:00:00,NYK vs. WAS,W,48.0,34,93,0.366,7,28,0.25,31,42,0.738,18,37,55,14,15.0,12,4,9,28,32,106,4.0
17,NYK,22000662,2021-03-23T00:00:00,NYK vs. WAS,W,48.0,47,92,0.511,16,30,0.533,21,24,0.875,12,30,42,23,10.0,6,8,5,28,23,131,18.0
18,NYK,22000650,2021-03-21T00:00:00,NYK vs. PHI,L,53.0,38,88,0.432,11,24,0.458,13,23,0.565,13,31,44,16,17.0,13,2,9,19,18,100,-1.0
19,NYK,22000627,2021-03-18T00:00:00,NYK vs. ORL,W,48.0,37,86,0.43,14,34,0.412,6,11,0.545,5,38,43,24,7.0,6,4,6,14,13,94,1.0
20,NYK,22000611,2021-03-16T00:00:00,NYK @ PHI,L,48.0,37,84,0.44,8,24,0.333,14,22,0.636,9,38,47,19,13.0,7,5,10,23,22,96,-3.0
21,NYK,22000604,2021-03-15T00:00:00,NYK @ BKN,L,48.0,37,92,0.402,15,42,0.357,23,27,0.852,13,27,40,16,9.0,9,2,6,22,19,112,-5.0
22,NYK,22000586,2021-03-13T00:00:00,NYK @ OKC,W,48.0,44,90,0.489,14,35,0.4,17,22,0.773,11,33,44,23,11.0,12,2,4,20,18,119,22.0
23,NYK,22000573,2021-03-11T00:00:00,NYK @ MIL,L,48.0,37,88,0.42,13,37,0.351,14,21,0.667,10,28,38,19,15.0,3,5,9,19,18,101,-33.0
24,NYK,22000565,2021-03-04T00:00:00,NYK vs. DET,W,48.0,45,83,0.542,9,27,0.333,15,19,0.789,12,35,47,25,13.0,10,4,2,13,13,114,10.0
25,NYK,22000541,2021-03-02T00:00:00,NYK @ SAS,L,48.0,33,81,0.407,15,36,0.417,12,15,0.8,9,32,41,18,16.0,2,5,4,16,14,93,-26.0
26,NYK,22000521,2021-02-28T00:00:00,NYK @ DET,W,48.0,44,86,0.512,13,26,0.5,8,10,0.8,6,35,41,23,12.0,9,7,4,23,15,109,19.0
27,NYK,22000515,2021-02-27T00:00:00,NYK vs. IND,W,48.0,40,81,0.494,12,24,0.5,18,22,0.818,4,34,38,26,21.0,12,2,7,22,17,110,3.0
28,NYK,22000500,2021-02-25T00:00:00,NYK vs. SAC,W,48.0,51,87,0.586,19,36,0.528,19,21,0.905,9,34,43,24,16.0,8,2,0,23,22,140,19.0
29,NYK,22000483,2021-02-23T00:00:00,NYK vs. GSW,L,48.0,38,97,0.392,11,29,0.379,19,22,0.864,18,38,56,22,15.0,4,5,8,23,18,106,-8.0
30,NYK,22000469,2021-02-21T00:00:00,NYK vs. MIN,W,48.0,33,78,0.423,6,18,0.333,31,38,0.816,11,37,48,17,13.0,4,4,3,25,24,103,4.0
31,NYK,22000436,2021-02-17T00:00:00,NYK @ ORL,L,48.0,33,87,0.379,7,27,0.259,16,19,0.842,10,36,46,16,16.0,7,5,7,14,15,89,-18.0
32,NYK,22000422,2021-02-15T00:00:00,NYK vs. ATL,W,48.0,42,83,0.506,17,34,0.5,22,27,0.815,10,32,42,22,9.0,5,6,6,22,19,123,11.0
33,NYK,22000408,2021-02-13T00:00:00,NYK vs. HOU,W,48.0,45,86,0.523,12,28,0.429,19,23,0.826,4,40,44,21,8.0,4,4,5,21,17,121,22.0
34,NYK,22000396,2021-02-12T00:00:00,NYK @ WAS,W,48.0,44,98,0.449,6,24,0.25,15,22,0.682,15,50,65,22,12.0,11,4,5,22,18,109,18.0
35,NYK,22000376,2021-02-09T00:00:00,NYK @ MIA,L,48.0,37,87,0.425,10,28,0.357,12,16,0.75,11,35,46,22,14.0,8,5,6,25,14,96,-2.0
36,NYK,22000364,2021-02-07T00:00:00,NYK vs. MIA,L,48.0,38,85,0.447,16,42,0.381,11,15,0.733,10,34,44,23,13.0,8,2,1,20,15,103,-6.0
37,NYK,22000351,2021-02-06T00:00:00,NYK vs. POR,W,48.0,44,88,0.5,13,30,0.433,9,13,0.692,8,43,51,20,14.0,5,5,7,19,15,110,11.0
38,NYK,22000332,2021-02-03T00:00:00,NYK @ CHI,W,48.0,43,89,0.483,11,22,0.5,10,15,0.667,11,36,47,19,17.0,5,4,3,18,14,107,4.0
39,NYK,22000315,2021-02-01T00:00:00,NYK @ CHI,L,48.0,37,87,0.425,6,29,0.207,22,26,0.846,11,34,45,21,12.0,6,6,1,19,19,102,-8.0
40,NYK,22000308,2021-01-31T00:00:00,NYK vs. LAC,L,48.0,41,85,0.482,10,27,0.37,23,28,0.821,10,26,36,21,8.0,5,5,4,20,14,115,-14.0
41,NYK,22000291,2021-01-29T00:00:00,NYK vs. CLE,W,48.0,39,80,0.488,10,27,0.37,14,16,0.875,8,33,41,20,14.0,8,6,5,24,20,102,21.0
42,NYK,22000270,2021-01-26T00:00:00,NYK @ UTA,L,48.0,36,83,0.434,10,27,0.37,12,17,0.706,9,35,44,15,12.0,6,4,5,21,14,94,-14.0
43,NYK,22000256,2021-01-24T00:00:00,NYK @ POR,L,48.0,39,86,0.453,12,29,0.414,23,25,0.92,13,34,47,20,12.0,9,0,8,20,16,113,-3.0
44,NYK,22000241,2021-01-22T00:00:00,NYK @ SAC,L,48.0,36,94,0.383,5,22,0.227,17,25,0.68,16,41,57,19,12.0,2,6,14,21,25,94,-9.0
45,NYK,22000228,2021-01-21T00:00:00,NYK @ GSW,W,48.0,38,82,0.463,11,24,0.458,32,41,0.78,11,44,55,24,11.0,5,9,3,29,26,119,15.0
46,NYK,22000203,2021-01-18T00:00:00,NYK vs. ORL,W,48.0,31,87,0.356,5,27,0.185,24,34,0.706,13,40,53,15,8.0,6,4,9,16,24,91,7.0
47,NYK,22000196,2021-01-17T00:00:00,NYK @ BOS,W,48.0,38,80,0.475,12,31,0.387,17,21,0.81,10,43,53,22,17.0,11,7,2,28,22,105,30.0
48,NYK,22000181,2021-01-15T00:00:00,NYK @ CLE,L,48.0,40,82,0.488,9,25,0.36,14,16,0.875,7,32,39,20,13.0,9,10,6,21,18,103,-3.0
49,NYK,22000168,2021-01-13T00:00:00,NYK vs. BKN,L,48.0,44,92,0.478,11,28,0.393,10,12,0.833,12,31,43,22,9.0,4,3,5,16,12,109,-7.0
50,NYK,22000149,2021-01-11T00:00:00,NYK @ CHA,L,48.0,34,87,0.391,9,37,0.243,11,17,0.647,17,32,49,20,17.0,6,6,8,23,13,88,-21.0
51,NYK,22000144,2021-01-10T00:00:00,NYK vs. DEN,L,48.0,32,74,0.432,6,21,0.286,19,25,0.76,8,28,36,19,16.0,4,1,4,15,25,89,-25.0
52,NYK,22000125,2021-01-08T00:00:00,NYK vs. OKC,L,48.0,34,96,0.354,9,27,0.333,12,20,0.6,11,38,49,19,5.0,8,7,7,19,19,89,-12.0
53,NYK,22000112,2021-01-06T00:00:00,NYK vs. UTA,W,48.0,45,87,0.517,8,22,0.364,14,19,0.737,11,37,48,22,13.0,10,5,9,17,15,112,12.0
54,NYK,22000095,2021-01-04T00:00:00,NYK @ ATL,W,48.0,43,85,0.506,7,21,0.333,20,25,0.8,11,34,45,26,16.0,9,6,2,21,21,113,5.0
55,NYK,22000080,2021-01-02T00:00:00,NYK @ IND,W,48.0,42,83,0.506,12,27,0.444,10,13,0.769,10,41,51,23,16.0,4,3,4,16,21,106,4.0
56,NYK,22000066,2020-12-31T00:00:00,NYK @ TOR,L,48.0,32,88,0.364,3,36,0.083,16,20,0.8,9,39,48,21,16.0,6,3,6,21,22,83,-17.0
57,NYK,22000046,2020-12-29T00:00:00,NYK @ CLE,W,48.0,34,79,0.43,14,25,0.56,13,21,0.619,14,41,55,23,27.0,9,6,10,21,17,95,9.0
58,NYK,22000036,2020-12-27T00:00:00,NYK vs. MIL,W,48.0,46,85,0.541,16,27,0.593,22,27,0.815,8,38,46,27,16.0,5,4,5,23,21,130,20.0
59,NYK,22000025,2020-12-26T00:00:00,NYK vs. PHI,L,48.0,32,83,0.386,8,29,0.276,17,23,0.739,13,30,43,19,16.0,6,4,6,23,19,89,-20.0
60,NYK,22000011,2020-12-23T00:00:00,NYK @ IND,L,48.0,39,85,0.459,12,28,0.429,17,23,0.739,5,35,40,25,16.0,8,8,9,27,24,107,-14.0
