,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,OKC,22000902,2021-04-23T00:00:00,OKC vs. WAS,L,48.0,39,93,0.419,10,33,0.303,21,25,0.84,14,26,40,18,17.0,12,7,7,17,23,109,-20.0
2,OKC,22000882,2021-04-21T00:00:00,OKC @ IND,L,48.0,48,104,0.462,9,29,0.31,11,16,0.688,17,38,55,26,17.0,8,3,7,18,16,116,-6.0
3,OKC,22000872,2021-04-19T00:00:00,OKC @ WAS,L,48.0,36,83,0.434,13,33,0.394,22,27,0.815,9,39,48,23,19.0,6,2,2,26,19,107,-12.0
4,OKC,22000865,2021-04-18T00:00:00,OKC @ TOR,L,48.0,37,82,0.451,14,33,0.424,18,21,0.857,9,37,46,22,23.0,6,8,5,19,15,106,-6.0
5,OKC,22000845,2021-04-16T00:00:00,OKC @ DET,L,48.0,39,97,0.402,7,39,0.179,19,26,0.731,18,38,56,19,22.0,13,8,7,23,24,104,-6.0
6,OKC,22000836,2021-04-14T00:00:00,OKC vs. GSW,L,48.0,44,92,0.478,7,27,0.259,14,25,0.56,17,33,50,22,21.0,6,2,6,22,20,109,-38.0
7,OKC,22000826,2021-04-13T00:00:00,OKC @ UTA,L,48.0,36,93,0.387,14,34,0.412,10,18,0.556,15,35,50,13,14.0,8,1,10,23,18,96,-10.0
8,OKC,22000199,2021-04-10T00:00:00,OKC vs. PHI,L,48.0,38,76,0.5,8,20,0.4,9,19,0.474,6,39,45,21,23.0,3,4,10,21,17,93,-24.0
9,OKC,22000785,2021-04-08T00:00:00,OKC vs. CLE,L,48.0,40,89,0.449,13,32,0.406,9,13,0.692,11,33,44,28,18.0,5,5,3,20,12,102,-27.0
10,OKC,22000781,2021-04-07T00:00:00,OKC vs. CHA,L,48.0,37,85,0.435,16,41,0.39,12,17,0.706,11,35,46,29,22.0,4,5,5,11,16,102,-11.0
11,OKC,22000766,2021-04-05T00:00:00,OKC vs. DET,L,48.0,41,97,0.423,5,27,0.185,21,25,0.84,13,29,42,17,15.0,10,6,7,20,20,108,-24.0
12,OKC,22000753,2021-04-03T00:00:00,OKC @ POR,L,48.0,30,85,0.353,8,34,0.235,17,24,0.708,12,34,46,17,22.0,4,6,3,21,18,85,-48.0
13,OKC,22000744,2021-04-02T00:00:00,OKC @ PHX,L,48.0,35,89,0.393,15,38,0.395,18,23,0.783,11,27,38,19,16.0,6,3,8,17,20,103,-37.0
