,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,ORL,22000893,2021-04-22T00:00:00,ORL vs. NOP,L,48.0,36,98,0.367,13,36,0.361,15,19,0.789,13,27,40,13,6.0,6,6,3,18,16,100,-35.0
2,ORL,22000876,2021-04-20T00:00:00,ORL @ ATL,L,48.0,34,86,0.395,8,37,0.216,20,29,0.69,6,34,40,13,10.0,11,3,3,19,22,96,-16.0
3,ORL,22000864,2021-04-18T00:00:00,ORL vs. HOU,L,48.0,41,91,0.451,11,32,0.344,17,19,0.895,9,27,36,28,15.0,10,5,7,19,21,110,-4.0
4,ORL,22000849,2021-04-16T00:00:00,ORL @ TOR,L,48.0,35,77,0.455,8,23,0.348,24,34,0.706,6,29,35,20,11.0,8,4,10,14,24,102,-11.0
5,ORL,22000833,2021-04-14T00:00:00,ORL @ CHI,W,48.0,44,89,0.494,12,27,0.444,15,20,0.75,13,33,46,29,7.0,8,10,6,15,16,115,9.0
6,ORL,22000816,2021-04-12T00:00:00,ORL vs. SAS,L,48.0,36,80,0.45,5,20,0.25,20,32,0.625,11,33,44,15,15.0,6,2,5,17,26,97,-23.0
7,ORL,22000808,2021-04-11T00:00:00,ORL vs. MIL,L,48.0,32,86,0.372,8,36,0.222,15,19,0.789,7,30,37,19,14.0,8,6,7,13,15,87,-37.0
8,ORL,22000790,2021-04-09T00:00:00,ORL vs. IND,L,48.0,38,90,0.422,6,24,0.25,24,31,0.774,12,38,50,23,15.0,3,8,10,22,24,106,-5.0
9,ORL,22000777,2021-04-07T00:00:00,ORL vs. WAS,L,48.0,44,93,0.473,12,31,0.387,16,23,0.696,11,28,39,22,11.0,11,3,3,16,18,116,-15.0
10,ORL,22000761,2021-04-04T00:00:00,ORL @ DEN,L,48.0,42,89,0.472,13,35,0.371,12,17,0.706,10,26,36,27,12.0,11,4,5,26,14,109,-10.0
11,ORL,22000752,2021-04-03T00:00:00,ORL @ UTA,L,48.0,32,87,0.368,2,23,0.087,25,31,0.806,9,30,39,11,11.0,5,4,6,14,25,91,-46.0
12,ORL,22000734,2021-04-01T00:00:00,ORL @ NOP,W,53.0,45,106,0.425,5,25,0.2,20,23,0.87,12,36,48,20,11.0,17,5,7,20,23,115,5.0
13,ORL,22000720,2021-03-30T00:00:00,ORL @ LAC,W,48.0,38,92,0.413,5,17,0.294,22,25,0.88,15,35,50,23,9.0,10,6,4,13,21,103,7.0
