,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,PHX,22000892,2021-04-22T00:00:00,PHX @ BOS,L,48.0,36,88,0.409,6,35,0.171,8,9,0.889,10,28,38,18,17.0,10,2,2,23,12,86,-13.0
2,PHX,22000883,2021-04-21T00:00:00,PHX @ PHI,W,48.0,41,86,0.477,15,42,0.357,19,21,0.905,10,23,33,30,10.0,7,8,7,21,19,116,3.0
3,PHX,22000873,2021-04-19T00:00:00,PHX @ MIL,W,53.0,51,106,0.481,17,42,0.405,9,10,0.9,8,37,45,28,11.0,7,4,3,16,15,128,1.0
4,PHX,22000860,2021-04-17T00:00:00,PHX vs. SAS,L,48.0,36,90,0.4,6,27,0.222,7,16,0.438,15,33,48,19,14.0,7,2,9,14,17,85,-26.0
5,PHX,22000843,2021-04-15T00:00:00,PHX vs. SAC,W,48.0,48,86,0.558,14,38,0.368,12,14,0.857,10,29,39,30,11.0,9,4,4,18,16,122,8.0
6,PHX,22000827,2021-04-13T00:00:00,PHX vs. MIA,W,48.0,38,82,0.463,13,42,0.31,17,18,0.944,9,39,48,28,21.0,11,2,2,18,20,106,20.0
7,PHX,22000822,2021-04-12T00:00:00,PHX vs. HOU,W,48.0,45,94,0.479,25,45,0.556,11,18,0.611,12,30,42,33,14.0,14,3,3,18,15,126,6.0
8,PHX,22000803,2021-04-10T00:00:00,PHX vs. WAS,W,48.0,55,107,0.514,17,43,0.395,7,7,1.0,5,40,45,36,3.0,8,3,1,18,12,134,28.0
9,PHX,22000788,2021-04-08T00:00:00,PHX @ LAC,L,48.0,36,71,0.507,6,24,0.25,25,30,0.833,9,27,36,20,15.0,6,6,1,18,22,103,-10.0
10,PHX,22000783,2021-04-07T00:00:00,PHX vs. UTA,W,53.0,45,101,0.446,11,34,0.324,16,20,0.8,16,45,61,20,14.0,7,5,4,21,23,117,4.0
11,PHX,22000768,2021-04-05T00:00:00,PHX @ HOU,W,48.0,44,86,0.512,18,37,0.486,27,31,0.871,6,31,37,29,11.0,11,3,3,22,25,133,3.0
12,PHX,22000744,2021-04-02T00:00:00,PHX vs. OKC,W,48.0,54,90,0.6,15,33,0.455,17,21,0.81,6,35,41,36,10.0,12,8,3,20,17,140,37.0
13,PHX,22000730,2021-03-31T00:00:00,PHX vs. CHI,W,48.0,46,81,0.568,11,25,0.44,18,24,0.75,4,28,32,29,10.0,6,7,4,21,20,121,5.0
14,PHX,22000171,2021-03-30T00:00:00,PHX vs. ATL,W,48.0,45,88,0.511,12,32,0.375,15,18,0.833,11,38,49,27,14.0,6,1,1,14,17,117,7.0
15,PHX,22000703,2021-03-28T00:00:00,PHX @ CHA,W,53.0,34,96,0.354,8,40,0.2,25,29,0.862,21,29,50,17,14.0,15,2,3,17,23,101,4.0
16,PHX,22000684,2021-03-26T00:00:00,PHX @ TOR,W,48.0,43,90,0.478,9,36,0.25,9,9,1.0,9,38,47,26,13.0,4,3,4,16,17,104,4.0
17,PHX,22000670,2021-03-24T00:00:00,PHX @ ORL,L,48.0,40,90,0.444,11,33,0.333,20,22,0.909,10,37,47,22,9.0,9,3,5,15,18,111,-1.0
18,PHX,22000664,2021-03-23T00:00:00,PHX @ MIA,W,48.0,45,91,0.495,12,37,0.324,8,9,0.889,8,31,39,29,7.0,5,6,4,18,13,110,10.0
19,PHX,22000651,2021-03-21T00:00:00,PHX vs. LAL,W,48.0,42,87,0.483,9,32,0.281,18,23,0.783,9,42,51,30,11.0,7,6,2,24,18,111,17.0
20,PHX,22000638,2021-03-19T00:00:00,PHX vs. MIN,W,48.0,43,86,0.5,14,27,0.519,13,17,0.765,6,34,40,29,18.0,8,1,6,19,19,113,12.0
21,PHX,22000628,2021-03-18T00:00:00,PHX vs. MIN,L,48.0,45,85,0.529,15,36,0.417,14,19,0.737,9,38,47,29,22.0,6,6,4,30,16,119,-4.0
22,PHX,22000607,2021-03-15T00:00:00,PHX vs. MEM,W,48.0,47,83,0.566,12,30,0.4,16,18,0.889,5,37,42,28,15.0,7,5,0,19,17,122,23.0
23,PHX,22000194,2021-03-13T00:00:00,PHX vs. IND,L,48.0,43,91,0.473,12,31,0.387,13,17,0.765,10,30,40,28,16.0,9,4,6,17,18,111,-11.0
24,PHX,22000577,2021-03-11T00:00:00,PHX @ POR,W,48.0,49,83,0.59,13,24,0.542,16,19,0.842,5,33,38,28,13.0,6,1,2,20,18,127,6.0
25,PHX,22000185,2021-03-04T00:00:00,PHX vs. GSW,W,48.0,49,96,0.51,12,30,0.4,10,13,0.769,12,40,52,31,16.0,8,4,4,16,11,120,22.0
26,PHX,22000542,2021-03-02T00:00:00,PHX @ LAL,W,48.0,38,77,0.494,16,29,0.552,22,25,0.88,5,30,35,30,14.0,5,7,8,16,23,114,10.0
27,PHX,22000526,2021-02-28T00:00:00,PHX @ MIN,W,48.0,44,89,0.494,7,27,0.259,23,24,0.958,8,39,47,27,16.0,7,5,4,18,22,118,19.0
28,PHX,22000508,2021-02-26T00:00:00,PHX @ CHI,W,48.0,44,88,0.5,6,22,0.273,12,15,0.8,3,27,30,35,7.0,11,4,4,11,16,106,9.0
29,PHX,22000496,2021-02-24T00:00:00,PHX vs. CHA,L,48.0,44,87,0.506,14,38,0.368,19,27,0.704,7,34,41,26,14.0,9,6,5,25,21,121,-3.0
30,PHX,22000477,2021-02-22T00:00:00,PHX vs. POR,W,48.0,50,99,0.505,16,33,0.485,16,18,0.889,13,30,43,29,7.0,6,5,6,13,17,132,32.0
31,PHX,22000462,2021-02-20T00:00:00,PHX @ MEM,W,48.0,46,86,0.535,24,46,0.522,12,13,0.923,5,36,41,35,12.0,5,7,4,14,12,128,31.0
32,PHX,22000455,2021-02-19T00:00:00,PHX @ NOP,W,48.0,51,88,0.58,22,39,0.564,8,12,0.667,4,33,37,38,13.0,8,4,3,17,16,132,18.0
33,PHX,22000433,2021-02-16T00:00:00,PHX vs. BKN,L,48.0,48,88,0.545,16,37,0.432,12,12,1.0,4,30,34,28,6.0,7,3,4,15,11,124,-4.0
34,PHX,22000417,2021-02-14T00:00:00,PHX vs. ORL,W,48.0,41,92,0.446,12,37,0.324,15,16,0.938,11,48,59,24,8.0,6,2,6,17,12,109,19.0
35,PHX,22000406,2021-02-13T00:00:00,PHX vs. PHI,W,48.0,48,79,0.608,10,25,0.4,14,17,0.824,4,28,32,25,14.0,8,3,1,24,15,120,9.0
36,PHX,22000389,2021-02-10T00:00:00,PHX vs. MIL,W,48.0,46,87,0.529,15,31,0.484,18,25,0.72,12,35,47,25,11.0,7,2,0,19,21,125,1.0
37,PHX,22000372,2021-02-08T00:00:00,PHX vs. CLE,W,48.0,47,90,0.522,11,24,0.458,14,19,0.737,14,27,41,29,11.0,7,6,5,20,20,119,6.0
38,PHX,22000365,2021-02-07T00:00:00,PHX vs. BOS,W,48.0,40,82,0.488,8,29,0.276,12,12,1.0,9,41,50,25,10.0,4,5,2,15,11,100,9.0
