,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,POR,22000225,2021-04-23T00:00:00,POR vs. MEM,L,48.0,46,96,0.479,14,35,0.4,22,27,0.815,14,36,50,28,12.0,6,3,5,20,21,128,-2.0
2,POR,22000890,2021-04-21T00:00:00,POR vs. DEN,L,48.0,40,87,0.46,12,36,0.333,13,15,0.867,9,32,41,21,11.0,7,2,5,16,16,105,-1.0
3,POR,22000879,2021-04-20T00:00:00,POR vs. LAC,L,48.0,42,94,0.447,14,44,0.318,14,19,0.737,13,29,42,22,6.0,7,4,3,16,15,112,-1.0
4,POR,22000362,2021-04-18T00:00:00,POR @ CHA,L,48.0,36,91,0.396,10,36,0.278,19,28,0.679,13,34,47,18,9.0,7,3,8,17,25,101,-8.0
5,POR,22000853,2021-04-16T00:00:00,POR @ SAS,W,48.0,41,89,0.461,11,29,0.379,14,16,0.875,9,29,38,23,11.0,9,6,9,12,14,107,1.0
6,POR,22000828,2021-04-13T00:00:00,POR vs. BOS,L,48.0,43,90,0.478,17,43,0.395,12,17,0.706,8,38,46,31,14.0,6,5,4,22,19,115,-1.0
7,POR,22000814,2021-04-11T00:00:00,POR vs. MIA,L,48.0,37,77,0.481,11,35,0.314,13,19,0.684,8,33,41,21,17.0,5,5,4,16,18,98,-9.0
8,POR,22000804,2021-04-10T00:00:00,POR vs. DET,W,48.0,43,90,0.478,13,29,0.448,19,24,0.792,14,35,49,18,16.0,5,8,6,20,23,118,15.0
9,POR,22000787,2021-04-08T00:00:00,POR @ UTA,L,48.0,38,96,0.396,13,48,0.271,14,18,0.778,9,32,41,18,6.0,3,5,3,21,15,103,-19.0
10,POR,22000775,2021-04-06T00:00:00,POR @ LAC,L,48.0,37,92,0.402,11,36,0.306,31,37,0.838,14,34,48,18,7.0,4,5,5,22,24,116,-17.0
11,POR,22000753,2021-04-03T00:00:00,POR vs. OKC,W,48.0,51,104,0.49,20,46,0.435,11,14,0.786,15,41,56,25,9.0,13,3,6,18,21,133,48.0
12,POR,22000745,2021-04-02T00:00:00,POR vs. MIL,L,48.0,36,99,0.364,21,54,0.389,16,22,0.727,13,32,45,19,14.0,11,3,5,18,18,109,-18.0
