,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,SAC,22000891,2021-04-21T00:00:00,SAC vs. MIN,W,48.0,43,74,0.581,17,33,0.515,25,31,0.806,4,29,33,29,14.0,7,5,4,20,21,128,3.0
2,SAC,22000880,2021-04-20T00:00:00,SAC vs. MIN,L,48.0,44,97,0.454,18,42,0.429,14,16,0.875,13,26,39,28,11.0,10,3,9,17,16,120,-14.0
3,SAC,22000866,2021-04-18T00:00:00,SAC @ DAL,W,48.0,44,89,0.494,11,24,0.458,22,25,0.88,10,32,42,22,8.0,11,3,8,19,20,121,14.0
4,SAC,22000843,2021-04-15T00:00:00,SAC @ PHX,L,48.0,43,78,0.551,14,30,0.467,14,19,0.737,4,28,32,22,15.0,7,4,4,16,18,114,-8.0
5,SAC,22000839,2021-04-14T00:00:00,SAC vs. WAS,L,48.0,42,91,0.462,9,27,0.333,18,24,0.75,5,25,30,22,17.0,17,8,3,22,18,111,-12.0
6,SAC,22000819,2021-04-12T00:00:00,SAC @ NOP,L,48.0,39,90,0.433,10,35,0.286,22,37,0.595,8,26,34,21,10.0,14,3,5,26,23,110,-7.0
7,SAC,22000801,2021-04-10T00:00:00,SAC @ UTA,L,48.0,42,88,0.477,14,42,0.333,14,22,0.636,4,34,38,23,10.0,8,4,5,23,17,112,-16.0
8,SAC,22000789,2021-04-08T00:00:00,SAC vs. DET,L,48.0,38,86,0.442,7,30,0.233,18,26,0.692,6,32,38,20,12.0,9,4,4,21,24,101,-12.0
9,SAC,22000765,2021-04-05T00:00:00,SAC @ MIN,L,48.0,39,88,0.443,9,36,0.25,19,24,0.792,10,32,42,27,15.0,9,8,4,19,16,106,-10.0
10,SAC,22000754,2021-04-03T00:00:00,SAC vs. MIL,L,48.0,49,99,0.495,17,39,0.436,13,13,1.0,12,28,40,31,12.0,7,4,3,17,15,128,-1.0
11,SAC,22000746,2021-04-02T00:00:00,SAC vs. LAL,L,48.0,36,85,0.424,10,35,0.286,12,16,0.75,6,32,38,24,15.0,8,5,2,16,19,94,-21.0
12,SAC,22000728,2021-03-31T00:00:00,SAC @ SAS,L,48.0,39,92,0.424,11,35,0.314,17,19,0.895,11,32,43,22,12.0,7,5,2,20,17,106,-14.0
13,SAC,22000714,2021-03-29T00:00:00,SAC @ SAS,W,48.0,47,84,0.56,18,36,0.5,20,25,0.8,4,33,37,29,7.0,9,6,4,15,18,132,17.0
14,SAC,22000702,2021-03-27T00:00:00,SAC vs. CLE,W,48.0,41,80,0.513,7,30,0.233,11,14,0.786,7,37,44,16,18.0,4,9,2,20,13,100,2.0
15,SAC,22000682,2021-03-25T00:00:00,SAC vs. GSW,W,48.0,53,89,0.596,19,38,0.5,16,19,0.842,5,33,38,28,6.0,6,4,0,13,19,141,22.0
16,SAC,22000677,2021-03-24T00:00:00,SAC vs. ATL,W,48.0,40,84,0.476,10,30,0.333,20,22,0.909,12,30,42,21,16.0,5,6,3,16,20,110,2.0
17,SAC,22000653,2021-03-22T00:00:00,SAC @ CLE,W,48.0,49,90,0.544,13,30,0.433,8,12,0.667,10,39,49,26,17.0,6,7,4,17,11,119,14.0
18,SAC,22000641,2021-03-20T00:00:00,SAC @ PHI,L,48.0,39,85,0.459,10,28,0.357,17,27,0.63,4,29,33,28,8.0,4,2,3,21,22,105,-24.0
19,SAC,22000631,2021-03-19T00:00:00,SAC @ BOS,W,48.0,37,81,0.457,12,30,0.4,21,26,0.808,11,34,45,22,14.0,6,9,4,16,20,107,11.0
20,SAC,22000619,2021-03-17T00:00:00,SAC @ WAS,W,48.0,41,93,0.441,10,33,0.303,29,35,0.829,6,32,38,25,10.0,10,4,2,26,25,121,2.0
21,SAC,22000602,2021-03-15T00:00:00,SAC @ CHA,L,48.0,48,86,0.558,9,31,0.29,11,17,0.647,4,40,44,28,12.0,7,6,3,19,15,116,-6.0
22,SAC,22000590,2021-03-13T00:00:00,SAC @ ATL,L,48.0,43,98,0.439,7,36,0.194,13,16,0.813,22,25,47,27,13.0,5,1,2,26,17,106,-15.0
23,SAC,22000578,2021-03-11T00:00:00,SAC vs. HOU,W,48.0,45,92,0.489,11,33,0.333,24,28,0.857,8,45,53,25,15.0,11,5,6,19,22,125,20.0
24,SAC,22000558,2021-03-04T00:00:00,SAC @ POR,L,48.0,49,103,0.476,11,29,0.379,10,16,0.625,18,33,51,25,7.0,3,3,7,19,14,119,-4.0
25,SAC,22000551,2021-03-03T00:00:00,SAC vs. LAL,W,48.0,48,80,0.6,12,25,0.48,15,19,0.789,6,24,30,32,14.0,5,1,3,19,19,123,3.0
26,SAC,22000528,2021-02-28T00:00:00,SAC vs. CHA,L,48.0,50,92,0.543,16,36,0.444,10,17,0.588,9,24,33,32,10.0,6,2,6,19,20,126,-1.0
27,SAC,22000504,2021-02-26T00:00:00,SAC @ DET,W,48.0,37,89,0.416,7,32,0.219,29,41,0.707,14,35,49,24,11.0,5,6,6,25,25,110,3.0
28,SAC,22000500,2021-02-25T00:00:00,SAC @ NYK,L,48.0,42,85,0.494,12,35,0.343,25,33,0.758,8,26,34,25,16.0,12,0,2,22,23,121,-19.0
29,SAC,22000482,2021-02-23T00:00:00,SAC @ BKN,L,48.0,45,87,0.517,15,31,0.484,13,19,0.684,5,33,38,25,15.0,6,7,5,17,16,118,-9.0
30,SAC,22000471,2021-02-21T00:00:00,SAC @ MIL,L,48.0,44,100,0.44,12,33,0.364,15,20,0.75,14,29,43,29,13.0,6,3,5,26,19,115,-13.0
31,SAC,22000460,2021-02-20T00:00:00,SAC @ CHI,L,48.0,44,98,0.449,8,29,0.276,18,22,0.818,12,29,41,22,7.0,8,3,8,18,23,114,-8.0
32,SAC,22000447,2021-02-18T00:00:00,SAC vs. MIA,L,48.0,43,93,0.462,15,41,0.366,9,16,0.563,13,31,44,29,16.0,7,3,2,18,15,110,-8.0
33,SAC,22000426,2021-02-15T00:00:00,SAC vs. BKN,L,48.0,51,96,0.531,12,33,0.364,11,13,0.846,15,26,41,24,15.0,6,6,4,13,16,125,-11.0
34,SAC,22000418,2021-02-14T00:00:00,SAC vs. MEM,L,48.0,41,82,0.5,8,33,0.242,20,26,0.769,5,28,33,22,16.0,8,5,2,19,20,110,-14.0
35,SAC,22000405,2021-02-12T00:00:00,SAC vs. ORL,L,48.0,43,83,0.518,12,33,0.364,14,19,0.737,8,34,42,33,18.0,8,1,2,18,15,112,-11.0
36,SAC,22000381,2021-02-09T00:00:00,SAC vs. PHI,L,48.0,43,99,0.434,14,42,0.333,11,19,0.579,8,31,39,24,11.0,6,8,5,28,22,111,-8.0
37,SAC,22000366,2021-02-07T00:00:00,SAC @ LAC,W,48.0,46,94,0.489,10,29,0.345,11,15,0.733,11,41,52,25,12.0,5,4,5,18,16,113,3.0
38,SAC,22000352,2021-02-06T00:00:00,SAC vs. DEN,W,48.0,44,91,0.484,14,35,0.4,17,24,0.708,10,35,45,30,7.0,5,7,9,11,18,119,5.0
39,SAC,22000336,2021-02-03T00:00:00,SAC vs. BOS,W,48.0,42,92,0.457,13,37,0.351,19,23,0.826,12,32,44,23,11.0,7,2,3,19,21,116,5.0
40,SAC,22000317,2021-02-01T00:00:00,SAC @ NOP,W,48.0,42,88,0.477,14,43,0.326,20,26,0.769,13,39,52,31,20.0,3,8,5,18,22,118,9.0
41,SAC,22000301,2021-01-30T00:00:00,SAC @ MIA,L,48.0,41,85,0.482,17,45,0.378,5,11,0.455,12,29,41,22,17.0,12,3,4,21,14,104,-1.0
42,SAC,22000292,2021-01-29T00:00:00,SAC @ TOR,W,48.0,43,78,0.551,16,36,0.444,24,31,0.774,11,27,38,31,22.0,7,5,2,25,27,126,2.0
43,SAC,22000273,2021-01-27T00:00:00,SAC @ ORL,W,48.0,45,92,0.489,14,33,0.424,17,26,0.654,17,33,50,30,15.0,8,3,8,18,23,121,14.0
44,SAC,22000241,2021-01-22T00:00:00,SAC vs. NYK,W,48.0,38,91,0.418,12,34,0.353,15,21,0.714,12,43,55,21,6.0,6,14,6,25,21,103,9.0
45,SAC,22000224,2021-01-20T00:00:00,SAC @ LAC,L,48.0,39,86,0.453,13,28,0.464,5,12,0.417,4,35,39,25,18.0,11,4,6,15,15,96,-19.0
46,SAC,22000201,2021-01-17T00:00:00,SAC vs. NOP,L,48.0,47,91,0.516,13,39,0.333,16,18,0.889,8,25,33,23,11.0,7,7,1,24,15,123,-5.0
47,SAC,22000188,2021-01-15T00:00:00,SAC vs. LAC,L,48.0,40,85,0.471,8,26,0.308,12,17,0.706,9,23,32,23,14.0,4,2,3,16,19,100,-38.0
48,SAC,22000173,2021-01-13T00:00:00,SAC vs. POR,L,48.0,44,84,0.524,19,38,0.5,19,26,0.731,8,34,42,35,13.0,4,2,8,18,24,126,-6.0
49,SAC,22000156,2021-01-11T00:00:00,SAC vs. IND,W,48.0,47,84,0.56,15,32,0.469,18,23,0.783,7,37,44,29,19.0,6,9,3,17,21,127,5.0
50,SAC,22000140,2021-01-09T00:00:00,SAC vs. POR,L,48.0,33,81,0.407,8,30,0.267,25,35,0.714,6,41,47,21,15.0,4,5,5,20,27,99,-26.0
51,SAC,22000132,2021-01-08T00:00:00,SAC vs. TOR,L,48.0,46,81,0.568,15,34,0.441,16,28,0.571,3,23,26,36,12.0,9,8,5,18,20,123,-21.0
52,SAC,22000117,2021-01-06T00:00:00,SAC vs. CHI,W,48.0,47,91,0.516,14,37,0.378,20,27,0.741,12,27,39,30,7.0,8,3,2,16,21,128,4.0
53,SAC,22000101,2021-01-04T00:00:00,SAC @ GSW,L,48.0,34,90,0.378,10,35,0.286,28,39,0.718,11,41,52,20,15.0,5,6,6,20,28,106,-31.0
54,SAC,22000079,2021-01-02T00:00:00,SAC @ HOU,L,48.0,35,90,0.389,9,28,0.321,15,21,0.714,14,33,47,11,15.0,5,4,10,21,22,94,-8.0
55,SAC,22000065,2020-12-31T00:00:00,SAC @ HOU,L,48.0,45,96,0.469,11,33,0.333,18,24,0.75,14,31,45,23,15.0,11,5,6,21,14,119,-3.0
56,SAC,22000055,2020-12-29T00:00:00,SAC vs. DEN,W,48.0,46,94,0.489,16,33,0.485,17,22,0.773,12,25,37,33,11.0,9,2,5,18,18,125,10.0
57,SAC,22000039,2020-12-27T00:00:00,SAC vs. PHX,L,48.0,36,76,0.474,10,23,0.435,18,25,0.72,3,36,39,21,15.0,5,4,3,23,20,100,-16.0
58,SAC,22000030,2020-12-26T00:00:00,SAC vs. PHX,W,48.0,39,86,0.453,5,23,0.217,23,33,0.697,15,41,56,20,18.0,4,9,5,22,23,106,3.0
59,SAC,22000019,2020-12-23T00:00:00,SAC @ DEN,W,53.0,45,102,0.441,10,31,0.323,24,31,0.774,18,36,54,27,15.0,5,7,11,29,25,124,2.0
