,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,SAS,22000895,2021-04-22T00:00:00,SAS vs. DET,W,48.0,37,80,0.463,11,24,0.458,21,27,0.778,11,32,43,28,10.0,12,7,5,19,22,106,15.0
2,SAS,22000888,2021-04-21T00:00:00,SAS vs. MIA,L,48.0,31,77,0.403,10,35,0.286,15,20,0.75,7,31,38,21,11.0,1,7,1,15,20,87,-20.0
3,SAS,22000473,2021-04-19T00:00:00,SAS @ IND,W,48.0,36,84,0.429,8,28,0.286,29,35,0.829,9,48,57,27,12.0,4,4,7,23,27,109,15.0
4,SAS,22000860,2021-04-17T00:00:00,SAS @ PHX,W,48.0,45,89,0.506,12,29,0.414,9,12,0.75,5,41,46,23,13.0,10,9,2,17,14,111,26.0
5,SAS,22000853,2021-04-16T00:00:00,SAS vs. POR,L,48.0,45,95,0.474,7,23,0.304,9,10,0.9,14,35,49,30,14.0,7,9,6,14,12,106,-1.0
6,SAS,22000831,2021-04-14T00:00:00,SAS @ TOR,L,48.0,38,89,0.427,17,39,0.436,19,27,0.704,12,29,41,26,13.0,6,7,5,19,19,112,-5.0
7,SAS,22000816,2021-04-12T00:00:00,SAS @ ORL,W,48.0,48,93,0.516,10,25,0.4,14,18,0.778,12,35,47,30,9.0,6,5,2,26,17,120,23.0
8,SAS,22000810,2021-04-11T00:00:00,SAS @ DAL,W,48.0,45,83,0.542,8,21,0.381,21,27,0.778,10,31,41,20,15.0,10,7,3,20,21,119,2.0
9,SAS,22000797,2021-04-09T00:00:00,SAS @ DEN,L,48.0,43,93,0.462,9,27,0.333,24,28,0.857,11,27,38,33,9.0,10,2,4,21,22,119,-2.0
10,SAS,22000782,2021-04-07T00:00:00,SAS @ DEN,L,48.0,38,91,0.418,6,24,0.25,14,21,0.667,11,31,42,23,15.0,11,4,6,19,18,96,-10.0
