,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,TOR,22000884,2021-04-21T00:00:00,TOR vs. BKN,W,48.0,39,90,0.433,18,47,0.383,18,21,0.857,9,39,48,23,11.0,7,8,6,20,17,114,11.0
2,TOR,22000865,2021-04-18T00:00:00,TOR vs. OKC,W,48.0,37,96,0.385,17,38,0.447,21,24,0.875,16,31,47,23,15.0,9,5,8,15,19,112,6.0
3,TOR,22000849,2021-04-16T00:00:00,TOR vs. ORL,W,48.0,41,82,0.5,14,35,0.4,17,18,0.944,8,34,42,24,17.0,6,10,4,24,14,113,11.0
4,TOR,22000831,2021-04-14T00:00:00,TOR vs. SAS,W,48.0,41,88,0.466,14,30,0.467,21,25,0.84,13,41,54,21,16.0,8,5,7,19,19,117,5.0
5,TOR,22000824,2021-04-13T00:00:00,TOR vs. ATL,L,48.0,42,88,0.477,10,39,0.256,9,13,0.692,6,36,42,16,13.0,7,4,2,19,16,103,-5.0
6,TOR,22000809,2021-04-11T00:00:00,TOR @ NYK,L,48.0,33,79,0.418,11,34,0.324,19,23,0.826,5,35,40,19,17.0,8,7,4,23,19,96,-6.0
7,TOR,22000794,2021-04-10T00:00:00,TOR @ CLE,W,48.0,53,86,0.616,17,32,0.531,12,14,0.857,5,34,39,29,19.0,12,11,5,18,13,135,20.0
8,TOR,22000523,2021-04-08T00:00:00,TOR vs. CHI,L,48.0,42,97,0.433,11,34,0.324,18,22,0.818,15,26,41,19,10.0,10,4,3,20,16,113,-9.0
9,TOR,22000772,2021-04-06T00:00:00,TOR vs. LAL,L,48.0,36,91,0.396,5,33,0.152,24,30,0.8,15,27,42,17,12.0,13,3,7,19,24,101,-9.0
10,TOR,22000763,2021-04-05T00:00:00,TOR vs. WAS,W,48.0,44,94,0.468,7,33,0.212,8,11,0.727,6,39,45,22,13.0,11,9,5,20,18,103,2.0
11,TOR,22000737,2021-04-02T00:00:00,TOR vs. GSW,W,48.0,47,88,0.534,15,35,0.429,21,25,0.84,10,43,53,26,12.0,14,8,4,17,18,130,53.0
