,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,UTA,22000887,2021-04-21T00:00:00,UTA @ HOU,W,48.0,41,90,0.456,17,46,0.37,13,16,0.813,9,52,61,27,12.0,7,4,5,16,21,112,23.0
2,UTA,22000875,2021-04-19T00:00:00,UTA @ LAL,W,48.0,43,75,0.573,15,33,0.455,10,11,0.909,2,40,42,29,17.0,5,5,1,20,14,111,14.0
3,UTA,22000855,2021-04-17T00:00:00,UTA @ LAL,L,53.0,42,101,0.416,23,59,0.39,8,8,1.0,6,31,37,31,16.0,10,3,8,21,14,115,-12.0
4,UTA,22000844,2021-04-16T00:00:00,UTA vs. IND,W,48.0,42,87,0.483,16,42,0.381,19,24,0.792,10,46,56,22,21.0,5,6,3,19,19,119,8.0
5,UTA,22000826,2021-04-13T00:00:00,UTA vs. OKC,W,48.0,36,86,0.419,17,47,0.362,17,20,0.85,11,40,51,24,14.0,6,10,1,18,23,106,10.0
6,UTA,22000820,2021-04-12T00:00:00,UTA vs. WAS,L,48.0,41,85,0.482,15,36,0.417,24,31,0.774,9,34,43,21,14.0,2,3,4,23,27,121,-4.0
7,UTA,22000801,2021-04-10T00:00:00,UTA vs. SAC,W,48.0,40,88,0.455,18,50,0.36,30,35,0.857,11,41,52,22,10.0,8,5,4,17,23,128,16.0
8,UTA,22000787,2021-04-08T00:00:00,UTA vs. POR,W,48.0,43,95,0.453,12,42,0.286,24,27,0.889,14,44,58,21,7.0,4,3,5,15,21,122,19.0
9,UTA,22000783,2021-04-07T00:00:00,UTA @ PHX,L,53.0,46,103,0.447,11,44,0.25,10,15,0.667,7,38,45,14,13.0,6,4,5,23,21,113,-4.0
10,UTA,22000764,2021-04-05T00:00:00,UTA @ DAL,L,48.0,37,88,0.42,12,44,0.273,17,22,0.773,14,34,48,20,9.0,3,4,2,18,18,103,-8.0
11,UTA,22000752,2021-04-03T00:00:00,UTA vs. ORL,W,48.0,51,92,0.554,26,55,0.473,9,12,0.75,7,43,50,34,11.0,10,6,4,25,14,137,46.0
12,UTA,22000743,2021-04-02T00:00:00,UTA vs. CHI,W,48.0,37,79,0.468,13,36,0.361,26,27,0.963,6,37,43,16,11.0,6,5,3,18,19,113,7.0
13,UTA,22000725,2021-03-31T00:00:00,UTA @ MEM,W,48.0,38,89,0.427,16,49,0.327,19,25,0.76,11,35,46,20,15.0,10,5,4,21,20,111,4.0
