,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
1,WAS,22000902,2021-04-23T00:00:00,WAS @ OKC,W,48.0,48,93,0.516,18,32,0.563,15,16,0.938,12,38,50,25,20.0,7,7,7,23,17,129,20.0
2,WAS,22000885,2021-04-21T00:00:00,WAS vs. GSW,W,48.0,38,91,0.418,10,28,0.357,32,38,0.842,15,46,61,23,23.0,12,7,5,16,23,118,4.0
3,WAS,22000872,2021-04-19T00:00:00,WAS vs. OKC,W,48.0,46,91,0.505,10,31,0.323,17,29,0.586,8,34,42,31,12.0,8,2,2,19,26,119,12.0
4,WAS,22000856,2021-04-17T00:00:00,WAS vs. DET,W,48.0,50,94,0.532,9,16,0.563,12,19,0.632,10,38,48,25,14.0,11,6,6,24,20,121,21.0
5,WAS,22000847,2021-04-16T00:00:00,WAS vs. NOP,W,53.0,45,96,0.469,4,27,0.148,23,32,0.719,3,43,46,24,13.0,5,7,7,24,22,117,2.0
6,WAS,22000839,2021-04-14T00:00:00,WAS @ SAC,W,48.0,47,90,0.522,7,24,0.292,22,27,0.815,14,42,56,23,26.0,12,3,8,18,22,123,12.0
7,WAS,22000820,2021-04-12T00:00:00,WAS @ UTA,W,48.0,47,90,0.522,9,19,0.474,22,28,0.786,8,36,44,29,8.0,7,4,3,27,23,125,4.0
8,WAS,22000803,2021-04-10T00:00:00,WAS @ PHX,L,48.0,39,84,0.464,9,25,0.36,19,28,0.679,7,42,49,27,16.0,2,1,3,12,18,106,-28.0
9,WAS,22000798,2021-04-09T00:00:00,WAS @ GSW,W,48.0,43,89,0.483,5,19,0.263,19,24,0.792,11,36,47,30,18.0,6,1,3,16,20,110,3.0
10,WAS,22000777,2021-04-07T00:00:00,WAS @ ORL,W,48.0,49,85,0.576,19,36,0.528,14,16,0.875,5,32,37,35,13.0,7,3,3,18,16,131,15.0
11,WAS,22000763,2021-04-05T00:00:00,WAS @ TOR,L,48.0,37,94,0.394,12,35,0.343,15,18,0.833,15,39,54,21,18.0,7,5,9,18,20,101,-2.0
12,WAS,22000747,2021-04-03T00:00:00,WAS vs. DAL,L,48.0,35,86,0.407,5,25,0.2,12,15,0.8,9,35,44,12,14.0,4,3,4,21,22,87,-22.0
13,WAS,22000179,2021-04-01T00:00:00,WAS @ DET,L,48.0,40,85,0.471,5,19,0.263,6,19,0.316,4,36,40,25,15.0,6,6,5,21,18,91,-29.0
14,WAS,22000718,2021-03-30T00:00:00,WAS vs. CHA,L,48.0,41,100,0.41,10,37,0.27,12,15,0.8,15,36,51,22,13.0,5,1,6,19,17,104,-10.0
15,WAS,22000707,2021-03-29T00:00:00,WAS vs. IND,W,48.0,55,99,0.556,10,19,0.526,12,18,0.667,12,43,55,30,19.0,5,8,6,24,18,132,8.0
16,WAS,22000694,2021-03-27T00:00:00,WAS vs. DET,W,48.0,44,91,0.484,9,21,0.429,9,9,1.0,7,41,48,24,18.0,7,5,5,22,18,106,14.0
17,WAS,22000679,2021-03-25T00:00:00,WAS @ NYK,L,48.0,37,80,0.463,8,26,0.308,20,33,0.606,8,38,46,26,17.0,8,9,4,32,28,102,-4.0
18,WAS,22000662,2021-03-23T00:00:00,WAS @ NYK,L,48.0,38,79,0.481,9,23,0.391,28,35,0.8,7,31,38,25,17.0,5,5,8,23,28,113,-18.0
19,WAS,22000647,2021-03-21T00:00:00,WAS @ BKN,L,48.0,42,79,0.532,7,21,0.333,15,19,0.789,10,33,43,24,19.0,5,4,8,22,18,106,-7.0
20,WAS,22000166,2021-03-18T00:00:00,WAS vs. UTA,W,48.0,47,86,0.547,7,17,0.412,30,38,0.789,7,36,43,23,13.0,6,2,3,27,27,131,9.0
21,WAS,22000619,2021-03-17T00:00:00,WAS vs. SAC,L,48.0,46,94,0.489,4,25,0.16,23,28,0.821,10,42,52,25,15.0,5,2,4,25,26,119,-2.0
22,WAS,22000603,2021-03-15T00:00:00,WAS vs. MIL,L,48.0,44,87,0.506,16,38,0.421,18,24,0.75,2,31,33,34,14.0,5,1,5,18,20,122,-11.0
23,WAS,22000589,2021-03-13T00:00:00,WAS vs. MIL,L,48.0,43,94,0.457,16,41,0.39,17,22,0.773,6,35,41,25,15.0,9,2,3,20,19,119,-6.0
24,WAS,22000579,2021-03-12T00:00:00,WAS vs. PHI,L,48.0,40,82,0.488,8,24,0.333,13,22,0.591,6,26,32,19,18.0,10,2,6,16,19,101,-26.0
25,WAS,22000566,2021-03-10T00:00:00,WAS @ MEM,L,48.0,38,95,0.4,11,36,0.306,25,27,0.926,6,33,39,23,9.0,9,6,6,26,26,112,-15.0
26,WAS,22000554,2021-03-04T00:00:00,WAS vs. LAC,W,48.0,40,88,0.455,9,23,0.391,30,42,0.714,11,30,41,20,9.0,12,3,4,24,31,119,2.0
27,WAS,22000536,2021-03-02T00:00:00,WAS vs. MEM,L,48.0,41,81,0.506,11,31,0.355,18,25,0.72,4,33,37,29,22.0,8,3,1,20,21,111,-14.0
28,WAS,22000524,2021-02-28T00:00:00,WAS @ BOS,L,48.0,38,84,0.452,9,32,0.281,25,29,0.862,7,29,36,16,14.0,10,5,0,22,25,110,-1.0
29,WAS,22000517,2021-02-27T00:00:00,WAS vs. MIN,W,48.0,44,98,0.449,13,33,0.394,27,34,0.794,15,42,57,27,16.0,6,6,10,24,29,128,16.0
30,WAS,22000502,2021-02-25T00:00:00,WAS @ DEN,W,48.0,41,86,0.477,8,26,0.308,22,25,0.88,10,32,42,24,11.0,9,2,7,20,20,112,2.0
31,WAS,22000488,2021-02-23T00:00:00,WAS @ LAC,L,48.0,47,88,0.534,11,20,0.55,11,16,0.688,6,30,36,32,13.0,5,1,5,16,22,116,-19.0
32,WAS,22000479,2021-02-22T00:00:00,WAS @ LAL,W,53.0,47,96,0.49,9,25,0.36,24,33,0.727,5,44,49,25,16.0,9,4,11,25,29,127,3.0
33,WAS,22000464,2021-02-20T00:00:00,WAS @ POR,W,48.0,45,89,0.506,6,26,0.231,22,29,0.759,12,42,54,23,17.0,8,3,7,19,22,118,7.0
34,WAS,22000437,2021-02-17T00:00:00,WAS vs. DEN,W,48.0,44,86,0.512,15,33,0.455,27,34,0.794,9,36,45,31,14.0,7,3,7,20,26,130,2.0
